,lower,upper,value,start
0,0.0,0.0,2200.0,10
1,0.0,0.0,2200.0,10
2,0.0,0.0,2100.0,10
3,0.0,0.0,2200.0,10
4,0.0,0.0,2000.0,10
5,0.0,0.0,2200.0,10
6,0.0,0.0,2200.0,10
7,0.0,0.0,2200.0,10
8,0.0,0.0,2200.0,10
9,0.0,0.0,2200.0,10
10,221.61184053041393,4178.388159469586,2200.0,10
11,-2223.810410454689,6623.810410454689,2200.0,10
12,-5202.450670785481,9602.450670785482,2200.0,10
13,-8636.078224426203,13036.078224426203,2200.0,10
14,-12472.119275146322,16872.119275146324,2200.0,10
15,-16672.620209371584,21072.620209371584,2200.0,10
16,-21208.60438672336,25608.60438672336,2200.0,10
17,-26057.034889457344,30457.034889457344,2200.0,10
18,-31199.036171960048,35599.03617196005,2200.0,10
19,-36618.77880831443,41018.77880831443,2200.0,10
20,-42259.5604364372,46659.5604364372,2200.0,10
21,-48048.43795672336,52448.43795672336,2200.0,10
22,-53940.909492231316,58340.909492231316,2200.0,10
23,-59908.66477836709,64308.66477836709,2200.0,10
24,-65932.98910717444,70332.98910717444,2200.0,10
25,-72001.08309703371,76401.08309703371,2200.0,10
26,-78103.92858766566,82503.92858766566,2200.0,10
27,-84235.00429788862,88635.00429788862,2200.0,10
28,-90389.48600483715,94789.48600483715,2200.0,10
29,-96563.73281919993,100963.73281919993,2200.0,10
30,-102754.94792996092,107154.94792996092,2200.0,10
31,-108960.94891738337,113360.94891738337,2200.0,10
32,-115180.00873171244,119580.00873171244,2200.0,10
33,-121410.74335869763,125810.74335869763,2200.0,10
34,-127652.03101026006,132052.03101026005,2200.0,10
35,-133902.95302833722,138302.95302833722,2200.0,10
36,-140162.75001593688,144562.75001593688,2200.0,10
37,-146430.7888240735,150830.7888240735,2200.0,10
38,-152706.5373956504,157106.5373956504,2200.0,10
39,-158989.54537503014,163389.54537503014,2200.0,10
40,-165279.42900290948,169679.42900290948,2200.0,10
41,-171575.85923390742,175975.85923390742,2200.0,10
42,-177878.5523043019,182278.5523043019,2200.0,10
43,-184187.2621814845,188587.2621814845,2200.0,10
44,-190501.7744722378,194901.7744722378,2200.0,10
45,-196821.90147194895,201221.90147194895,2200.0,10
46,-203147.47811348928,207547.47811348928,2200.0,10
47,-209478.35863098124,213878.35863098124,2200.0,10
48,-215814.41379573246,220214.41379573246,2200.0,10
49,-222155.52861322425,226555.52861322425,2200.0,10
50,-228501.60039399652,232901.60039399652,2200.0,10
51,-234852.537129579,239252.537129579,2200.0,10
52,-241208.25611871612,245608.25611871612,2200.0,10
53,-247568.6828000683,251968.6828000683,2200.0,10
54,-253933.74975611467,258333.74975611467,2200.0,10
55,-260303.39585969684,264703.39585969684,2200.0,10
56,-266677.56553995545,271077.56553995545,2200.0,10
57,-273056.2081486385,277456.2081486385,2200.0,10
58,-279439.2774111435,283839.2774111435,2200.0,10
59,-285826.7309493758,290226.7309493758,2200.0,10
60,-292218.52986570564,296618.52986570564,2200.0,10
61,-298614.6383790965,303014.6383790965,2200.0,10
62,-305015.02350593376,309415.02350593376,2200.0,10
63,-311419.6547792812,315819.6547792812,2200.0,10
64,-317828.50400127884,322228.50400127884,2200.0,10
65,-324241.5450242082,328641.5450242082,2200.0,10
66,-330658.75355642976,335058.75355642976,2200.0,10
67,-337080.1069899588,341480.1069899588,2200.0,10
68,-343505.5842469186,347905.5842469186,2200.0,10
69,-349935.16564250446,354335.16564250446,2200.0,10
70,-356368.8327624248,360768.8327624248,2200.0,10
71,-362806.5683530668,367206.5683530668,2200.0,10
72,-369248.3562228734,373648.3562228734,2200.0,10
73,-375694.1811536177,380094.1811536177,2200.0,10
74,-382144.0288204377,386544.0288204377,2200.0,10
75,-388597.8857196376,392997.8857196376,2200.0,10
76,-395055.739103391,399455.739103391,2200.0,10
77,-401517.5769205876,405917.5769205876,2200.0,10
78,-407983.38776316145,412383.38776316145,2200.0,10
79,-414453.1608173152,418853.1608173152,2200.0,10
80,-420926.88581912953,425326.88581912953,2200.0,10
81,-427404.55301410286,431804.55301410286,2200.0,10
82,-433886.1531202231,438286.1531202231,2200.0,10
83,-440371.67729421495,444771.67729421495,2200.0,10
84,-446861.1171006517,451261.1171006517,2200.0,10
85,-453354.46448364854,457754.46448364854,2200.0,10
86,-459851.7117408916,464251.7117408916,2200.0,10
87,-466352.8514997807,470752.8514997807,2200.0,10
88,-472857.8766954866,477257.8766954866,2200.0,10
89,-479366.7805507471,483766.7805507471,2200.0,10
90,-485879.5565572431,490279.5565572431,2200.0,10
91,-492396.19845841196,496796.19845841196,2200.0,10
92,-498916.7002335706,503316.7002335706,2200.0,10
93,-505441.0560832339,509841.0560832339,2200.0,10
94,-511969.2604155239,516369.2604155239,2200.0,10
95,-518501.3078335769,522901.3078335769,2200.0,10
96,-525037.1931238637,529437.1931238637,2200.0,10
97,-531576.9112453473,535976.9112453473,2200.0,10
98,-538120.457319408,542520.457319408,2200.0,10
99,-544667.8266204735,549067.8266204735,2200.0,10
100,-551219.0145672983,555619.0145672983,2200.0,10
101,-557774.016714838,562174.016714838,2200.0,10
102,-564332.8287466739,568732.8287466739,2200.0,10
103,-570895.4464679444,575295.4464679444,2200.0,10
104,-577461.8657987438,581861.8657987438,2200.0,10
105,-584032.0827679517,588432.0827679517,2200.0,10
106,-590606.0935074633,595006.0935074633,2200.0,10
107,-597183.8942467881,601583.8942467881,2200.0,10
108,-603765.4813079907,608165.4813079907,2200.0,10
109,-610350.851100949,614750.851100949,2200.0,10
110,-616940.000118906,621340.000118906,2200.0,10
111,-623532.9249342952,627932.9249342952,2200.0,10
112,-630129.6221948192,634529.6221948192,2200.0,10
113,-636730.0886197645,641130.0886197645,2200.0,10
114,-643334.3209965352,647734.3209965352,2200.0,10
115,-649942.3161773921,654342.3161773921,2200.0,10
116,-656554.0710763808,660954.0710763808,2200.0,10
117,-663169.5826664385,667569.5826664385,2200.0,10
118,-669788.8479766661,674188.8479766661,2200.0,10
119,-676411.864089755,680811.864089755,2200.0,10
120,-683038.6281395581,687438.6281395581,2200.0,10
121,-689669.1373087973,694069.1373087973,2200.0,10
122,-696303.3888268955,700703.3888268955,2200.0,10
123,-702941.3799679284,707341.3799679284,2200.0,10
124,-709583.1080486869,713983.1080486869,2200.0,10
125,-716228.5704268432,720628.5704268432,2200.0,10
126,-722877.7644992152,727277.7644992152,2200.0,10
127,-729530.6877001204,733930.6877001204,2200.0,10
128,-736187.3374998185,740587.3374998185,2200.0,10
129,-742847.7114030323,747247.7114030323,2200.0,10
130,-749511.8069475458,753911.8069475458,2200.0,10
131,-756179.6217028737,760579.6217028737,2200.0,10
132,-762851.1532689965,767251.1532689965,2200.0,10
133,-769526.3992751613,773926.3992751613,2200.0,10
134,-776205.3573787397,780605.3573787397,2200.0,10
135,-782888.025264144,787288.025264144,2200.0,10
136,-789574.4006417939,793974.4006417939,2200.0,10
137,-796264.4812471357,800664.4812471357,2200.0,10
138,-802958.2648397068,807358.2648397068,2200.0,10
139,-809655.7492022458,814055.7492022458,2200.0,10
140,-816356.9321398434,820756.9321398434,2200.0,10
141,-823061.8114791341,827461.8114791341,2200.0,10
142,-829770.3850675258,834170.3850675258,2200.0,10
143,-836482.650772463,840882.650772463,2200.0,10
144,-843198.6064807264,847598.6064807264,2200.0,10
145,-849918.2500977613,854318.2500977613,2200.0,10
146,-856641.5795470395,861041.5795470395,2200.0,10
147,-863368.5927694465,867768.5927694465,2200.0,10
148,-870099.2877226988,874499.2877226988,2200.0,10
149,-876833.662380784,881233.662380784,2200.0,10
150,-883571.714733428,887971.714733428,2200.0,10
151,-890313.4427855833,894713.4427855833,2200.0,10
152,-897058.8445569408,901458.8445569408,2200.0,10
153,-903807.918081461,908207.918081461,2200.0,10
154,-910560.6614069265,914960.6614069265,2200.0,10
155,-917317.072594512,921717.072594512,2200.0,10
156,-924077.149718374,928477.149718374,2200.0,10
157,-930840.8908652553,935240.8908652553,2200.0,10
158,-937608.2941341077,942008.2941341077,2200.0,10
159,-944379.357635729,948779.357635729,2200.0,10
160,-951154.0794924154,955554.0794924154,2200.0,10
161,-957932.457837627,962332.457837627,2200.0,10
162,-964714.4908156686,969114.4908156686,2200.0,10
