Time,219027,410102,410704,412010,421189,570818,570825,570947,A4261167,A4261221,EW0902,EW1101,EW1102,ST514A
2010-01-01T00:00:00.000+10:00,,,,,,60.2,55.5,63.3,,,60.8,,,82.59
2010-01-02T00:00:00.000+10:00,,,,,,65.8,62.6,72.1,,,66.1,,,72.58
2010-01-03T00:00:00.000+10:00,,,,,,70.7,59.4,65.0,,,62.4,,,61.77
2010-01-04T00:00:00.000+10:00,,,,,,60.1,55.2,65.8,,,58.0,,,59.70
2010-01-05T00:00:00.000+10:00,,,,,,59.3,54.4,68.4,,,61.0,,,76.62
2010-01-06T00:00:00.000+10:00,,,,,,58.7,52.9,56.1,,,58.7,,,67.72
2010-01-07T00:00:00.000+10:00,,,,,,68.9,62.2,66.2,,,66.0,,,63.26
2010-01-08T00:00:00.000+10:00,,,,,,52.8,48.4,58.5,,,50.5,,,58.32
2010-01-09T00:00:00.000+10:00,,,,,,46.3,41.8,55.5,,,44.4,,,64.08
2010-01-10T00:00:00.000+10:00,,,,,,49.7,44.9,52.1,,,47.6,,,71.38
2010-01-11T00:00:00.000+10:00,,,,,,51.1,46.6,56.1,,,48.7,,,54.20
2010-01-12T00:00:00.000+10:00,,,,,,41.3,32.6,44.9,,,38.4,,,56.74
2010-01-13T00:00:00.000+10:00,,,,,,56.6,42.6,58.5,,,45.5,,,63.66
2010-01-14T00:00:00.000+10:00,,,,,,69.8,61.6,72.1,,,64.7,,,57.85
2010-01-15T00:00:00.000+10:00,,,,,,67.3,60.6,66.5,,,64.3,,,70.23
2010-01-16T00:00:00.000+10:00,,,,,,68.5,67.2,69.2,,,71.1,,,76.55
2010-01-17T00:00:00.000+10:00,,,,,,51.4,49.6,51.6,,,54.5,,,64.09
2010-01-18T00:00:00.000+10:00,,,,,,48.0,41.1,53.2,,,41.7,,,72.49
2010-01-19T00:00:00.000+10:00,,,,,,43.3,39.1,47.8,,,41.2,,,64.86
2010-01-20T00:00:00.000+10:00,,,,,,37.7,26.2,37.7,,,28.3,,,66.69
2010-01-21T00:00:00.000+10:00,,,,,,42.0,30.9,38.5,,,34.1,,,65.09
2010-01-22T00:00:00.000+10:00,,,,,,35.7,37.1,41.0,,,39.5,,,44.88
2010-01-23T00:00:00.000+10:00,,,,,,37.7,30.7,36.1,,,34.7,,,65.71
2010-01-24T00:00:00.000+10:00,,,,,,62.1,53.3,58.9,,,57.2,,,63.54
2010-01-25T00:00:00.000+10:00,,,,,,54.7,48.5,50.2,,,53.0,,,66.22
2010-01-26T00:00:00.000+10:00,,,,,,48.9,39.2,41.3,,,45.3,,,77.98
2010-01-27T00:00:00.000+10:00,,,,,,55.4,47.7,49.4,,,50.5,,,63.21
2010-01-28T00:00:00.000+10:00,,,,,,62.0,52.3,53.2,,,57.6,,,80.33
2010-01-29T00:00:00.000+10:00,,,,,,66.2,50.0,53.6,,,58.7,,,70.52
2010-01-30T00:00:00.000+10:00,,,,,,67.1,61.1,66.4,,,63.7,,,59.58
2010-01-31T00:00:00.000+10:00,,,,,,65.8,58.0,60.6,,,63.5,,,60.62
2010-02-01T00:00:00.000+10:00,,,,,,56.9,51.1,59.5,,,53.9,,,65.47
2010-02-02T00:00:00.000+10:00,,,,,,62.9,51.7,58.3,,,55.2,,,60.10
2010-02-03T00:00:00.000+10:00,,,,,,71.0,61.1,66.3,,,65.3,,,55.69
2010-02-04T00:00:00.000+10:00,,,,,,74.8,76.7,84.7,,,76.5,,,76.62
2010-02-05T00:00:00.000+10:00,,,,,,86.9,84.4,86.7,,,84.8,,,74.67
2010-02-06T00:00:00.000+10:00,,,,,,74.1,66.6,75.7,,,69.0,,,62.34
2010-02-07T00:00:00.000+10:00,,,,,,76.2,69.8,73.8,,,70.8,,,61.21
2010-02-08T00:00:00.000+10:00,,,,,,73.0,70.0,73.4,,,73.1,,,70.19
2010-02-09T00:00:00.000+10:00,,,,,,60.8,57.1,64.4,,,59.9,,,80.42
2010-02-10T00:00:00.000+10:00,,,,,,77.5,73.7,76.0,,,74.5,,,78.23
2010-02-11T00:00:00.000+10:00,,,,,,62.9,60.1,65.7,,,63.2,,,80.55
2010-02-12T00:00:00.000+10:00,,,,,,73.2,71.6,70.5,,,69.1,,,79.66
2010-02-13T00:00:00.000+10:00,,,,,,90.1,94.4,90.9,,,98.1,,,78.89
2010-02-14T00:00:00.000+10:00,,,,,,86.5,83.9,83.7,,,86.2,,,78.42
2010-02-15T00:00:00.000+10:00,,,,,,76.7,76.4,76.4,,,77.5,,,69.61
2010-02-16T00:00:00.000+10:00,,,,,,66.7,63.2,66.2,,,62.4,,,68.13
2010-02-17T00:00:00.000+10:00,,,,,,67.9,67.5,70.0,,,69.7,,,71.55
2010-02-18T00:00:00.000+10:00,,,,,,66.1,62.8,59.2,,,64.7,,,73.11
2010-02-19T00:00:00.000+10:00,,,,,,66.4,67.0,72.0,,,66.5,,,59.23
2010-02-20T00:00:00.000+10:00,,,,,,65.1,62.2,66.7,,,65.3,,,42.77
2010-02-21T00:00:00.000+10:00,,,,,,60.0,54.8,61.2,,,61.2,,,61.41
2010-02-22T00:00:00.000+10:00,,,,,,63.0,59.5,66.4,,,61.6,,,61.15
2010-02-23T00:00:00.000+10:00,,,,,,48.2,43.8,45.4,,,48.5,,,63.03
2010-02-24T00:00:00.000+10:00,,,,,,62.1,59.7,64.4,,,60.1,,,68.37
2010-02-25T00:00:00.000+10:00,,,,,,63.4,60.7,66.0,,,61.5,,,67.52
2010-02-26T00:00:00.000+10:00,,,,,,61.4,58.2,64.9,,,60.8,,,60.20
2010-02-27T00:00:00.000+10:00,,,,,,66.1,59.2,66.1,,,62.7,,,69.41
2010-02-28T00:00:00.000+10:00,,,,,,70.0,65.7,74.2,,,68.3,,,63.56
2010-03-01T00:00:00.000+10:00,,,,,,67.8,62.1,67.1,,,62.0,,,56.68
2010-03-02T00:00:00.000+10:00,,,,,,64.9,60.8,61.6,,,62.4,,,64.95
2010-03-03T00:00:00.000+10:00,,,,,,66.0,65.0,63.3,,,67.0,,,68.47
2010-03-04T00:00:00.000+10:00,,,,,,68.9,67.5,65.7,,,70.3,,,59.85
2010-03-05T00:00:00.000+10:00,,,,,,83.1,87.4,86.7,,,90.1,,,71.85
2010-03-06T00:00:00.000+10:00,,,,,,79.7,83.5,81.8,,,82.4,,,85.24
2010-03-07T00:00:00.000+10:00,,,,,,79.9,84.5,87.0,,,87.2,,,86.31
2010-03-08T00:00:00.000+10:00,,,,,,73.5,73.3,69.7,,,75.8,,,78.53
2010-03-09T00:00:00.000+10:00,,,,,,68.1,67.1,68.9,,,69.4,,,67.60
2010-03-10T00:00:00.000+10:00,,,,,,73.7,66.4,65.8,,,71.5,,,66.40
2010-03-11T00:00:00.000+10:00,,,,,,62.9,59.1,59.6,,,58.3,,,62.05
2010-03-12T00:00:00.000+10:00,,,,,,72.5,67.7,69.9,,,70.0,,,69.14
2010-03-13T00:00:00.000+10:00,,,,,,69.1,65.2,67.0,,,67.3,,,68.54
2010-03-14T00:00:00.000+10:00,,,,,,74.6,69.1,72.5,,,72.4,,,65.36
2010-03-15T00:00:00.000+10:00,,,,,,67.5,69.9,67.5,,,70.7,,,58.10
2010-03-16T00:00:00.000+10:00,,,,,,62.9,64.2,68.5,,,64.5,,,56.26
2010-03-17T00:00:00.000+10:00,,,,,,62.0,65.9,69.0,,,65.4,,,67.16
2010-03-18T00:00:00.000+10:00,,,,,,59.2,59.1,66.5,,,62.7,,,72.41
2010-03-19T00:00:00.000+10:00,,,,,,66.2,60.4,66.5,,,66.1,,,68.68
2010-03-20T00:00:00.000+10:00,,,,,,63.5,61.8,67.2,,,66.1,,,66.68
2010-03-21T00:00:00.000+10:00,,,,,,61.1,59.0,63.2,,,64.8,,,64.98
2010-03-22T00:00:00.000+10:00,,,,,,66.8,66.6,72.6,,,66.4,,,64.26
2010-03-23T00:00:00.000+10:00,,,,,,65.0,59.1,53.7,,,64.9,,,71.39
2010-03-24T00:00:00.000+10:00,,,,,,64.0,58.5,65.3,,,63.0,,,78.03
2010-03-25T00:00:00.000+10:00,,,,,,64.9,63.9,65.5,,,66.6,,,66.96
2010-03-26T00:00:00.000+10:00,,,,,,56.9,55.0,61.5,,,62.9,,,71.09
2010-03-27T00:00:00.000+10:00,,,,,,60.7,57.2,70.4,,,58.4,,,74.98
2010-03-28T00:00:00.000+10:00,,,,,,64.4,67.9,74.8,,,67.8,,,70.74
2010-03-29T00:00:00.000+10:00,,,,,,82.2,81.7,82.6,,,86.2,,,77.35
2010-03-30T00:00:00.000+10:00,,,,,,83.6,85.7,83.4,,,88.8,,,71.90
2010-03-31T00:00:00.000+10:00,,,,,,69.2,72.0,71.1,,,70.5,,,73.36
