,lower,upper,value,start
0,0.0,0.0,544.0,10
1,0.0,0.0,1214.1,10
2,0.0,0.0,1413.0,10
3,0.0,0.0,11562.2,10
4,0.0,0.0,2050.0,10
5,0.0,0.0,3060.2000000000003,10
6,0.0,0.0,1860.0,10
7,0.0,0.0,1363.2,10
8,0.0,0.0,2302.4,10
9,0.0,0.0,1885.9,10
10,-10067.36603428167,13006.166034281672,1469.4000000000008,10
11,-24669.52978079796,26775.32978079796,1052.9000000000012,10
12,-42307.17103587336,43579.971035873365,636.4000000000017,10
13,-62542.578380023675,62982.37838002368,219.90000000000214,10
14,-85079.39928534233,84686.19928534234,-196.5999999999974,10
15,-109702.71491851342,108476.51491851344,-613.099999999997,10
16,-136247.95349346095,134188.75349346094,-1029.5999999999965,10
17,-164584.01022681664,161691.81022681663,-1446.099999999996,10
18,-194603.30406003664,190878.10406003663,-1862.5999999999956,10
19,-226215.51483702,221657.31483701998,-2279.099999999995,10
20,-259343.42376262005,253952.22376262004,-2695.5999999999945,10
21,-293920.030911572,287695.83091157203,-3112.099999999994,10
22,-329886.4873421298,322829.28734212986,-3528.5999999999935,10
23,-367190.5684005748,359300.36840057484,-3945.099999999993,10
24,-405785.51901067863,397062.3190106787,-4361.599999999993,10
25,-445629.16212285915,436072.9621228592,-4778.099999999993,10
26,-486683.19799568935,476293.9979956894,-5194.599999999993,10
27,-528912.6448594765,517690.4448594765,-5611.099999999993,10
28,-572285.3863090726,560230.1863090727,-6027.599999999993,10
29,-616771.8006111411,603883.6006111412,-6444.099999999993,10
30,-662344.4538123019,648623.2538123019,-6860.599999999993,10
31,-708977.84319834,694423.6431983401,-7277.099999999993,10
32,-756648.1809634435,741260.9809634435,-7693.599999999993,10
33,-805333.2103368235,789113.0103368235,-8110.099999999993,10
34,-855012.0481652336,837958.8481652336,-8526.599999999993,10
35,-905665.0492522066,887778.8492522066,-8943.099999999993,10
36,-957273.6887359357,938554.4887359358,-9359.599999999993,10
37,-1009820.4595356765,990268.2595356766,-9776.099999999993,10
38,-1063288.7824730074,1042903.5824730074,-10192.599999999993,10
39,-1117662.9271230528,1096444.7271230526,-10609.099999999993,10
40,-1172927.9418034186,1150876.7418034184,-11025.599999999993,10
41,-1229069.591388089,1206185.3913880887,-11442.099999999993,10
42,-1286074.301856857,1262357.1018568568,-11858.599999999993,10
43,-1343929.1106706487,1319378.9106706486,-12275.099999999993,10
44,-1402621.6222088349,1377238.4222088347,-12691.599999999993,10
45,-1462139.9676235744,1435923.7676235742,-13108.099999999993,10
46,-1522472.768563877,1495423.568563877,-13524.599999999993,10
47,-1583609.1043027302,1555726.90430273,-13941.099999999993,10
48,-1645538.4818676088,1616823.2818676087,-14357.599999999993,10
49,-1708250.8088306007,1678702.6088306005,-14774.099999999993,10
50,-1771736.368461252,1741355.1684612518,-15190.599999999993,10
51,-1835985.7969847873,1804771.5969847871,-15607.099999999993,10
52,-1900990.0627217758,1868942.8627217757,-16023.599999999993,10
53,-1966740.4469137737,1933860.2469137735,-16440.09999999999,10
54,-2033228.5260637102,1999515.32606371,-16856.59999999999,10
55,-2100446.1556405853,2065899.9556405852,-17273.09999999999,10
56,-2168385.4550158996,2133006.2550158994,-17689.59999999999,10
57,-2237038.793514658,2200826.593514658,-18106.09999999999,10
58,-2306398.7774771117,2269353.5774771115,-18522.59999999999,10
59,-2376458.2382390047,2338580.0382390046,-18939.09999999999,10
60,-2447210.220948161,2408499.020948161,-19355.59999999999,10
61,-2518647.974144046,2479103.774144046,-19772.09999999999,10
62,-2590764.940034681,2550387.740034681,-20188.59999999999,10
63,-2663554.745412022,2622344.5454120217,-20605.09999999999,10
64,-2737011.193152908,2694967.9931529076,-21021.59999999999,10
65,-2811128.2542579253,2768252.054257925,-21438.09999999999,10
66,-2885900.0603852025,2842190.8603852023,-21854.59999999999,10
67,-2961320.896840256,2916778.696840256,-22271.09999999999,10
68,-3037385.1959867044,2992009.9959867042,-22687.59999999999,10
69,-3114087.5310459016,3067879.3310459014,-23104.09999999999,10
70,-3191422.610256475,3144381.4102564747,-23520.59999999999,10
71,-3269385.2713673376,3221511.0713673374,-23937.09999999999,10
72,-3347970.4764401,3299263.2764401,-24353.59999999999,10
73,-3427173.306938882,3377633.106938882,-24770.09999999999,10
74,-3506988.959087408,3456615.759087408,-25186.59999999999,10
75,-3587412.7394749713,3536206.539474971,-25603.09999999999,10
76,-3668440.0608943696,3616400.8608943694,-26019.59999999999,10
77,-3750066.4383963137,3697194.2383963135,-26436.09999999999,10
78,-3832287.4855460296,3778582.2855460295,-26852.59999999999,10
79,-3915098.910868937,3860560.710868937,-27269.09999999999,10
80,-3998496.514473301,3943125.3144733007,-27685.59999999999,10
81,-4082476.184838673,4026271.984838673,-28102.09999999999,10
82,-4167033.895759823,4109996.6957598226,-28518.59999999999,10
83,-4252165.7034366,4194295.5034366003,-28935.09999999999,10
84,-4337867.743700894,4279164.543700894,-29351.59999999999,10
85,-4424136.229372489,4364600.02937249,-29768.09999999999,10
86,-4510967.447736237,4450598.247736238,-30184.59999999999,10
87,-4598357.758133443,4537155.558133444,-30601.09999999999,10
88,-4686303.589660946,4624268.389660947,-31017.59999999999,10
89,-4774801.438971754,4711933.238971755,-31434.09999999999,10
90,-4863847.868171543,4800146.668171544,-31850.59999999999,10
91,-4953439.502805734,4888905.302805735,-32267.09999999999,10
92,-5043573.029932165,4978205.829932165,-32683.59999999999,10
93,-5134245.196274765,5068044.996274766,-33100.09999999999,10
94,-5225452.806453884,5158419.606453884,-33516.59999999999,10
95,-5317192.721289238,5249326.521289239,-33933.09999999999,10
96,-5409461.856171695,5340762.656171695,-34349.59999999999,10
97,-5502257.179500337,5432724.9795003375,-34766.09999999999,10
98,-5595575.711181482,5525210.511181483,-35182.59999999999,10
99,-5689414.521186545,5618216.321186545,-35599.09999999999,10
100,-5783770.728165784,5711739.528165785,-36015.59999999999,10
101,-5878641.498115216,5805777.298115217,-36432.09999999999,10
102,-5974024.04309407,5900326.84309407,-36848.59999999999,10
103,-6069915.619990363,5995385.4199903635,-37265.09999999999,10
104,-6166313.529332302,6090950.329332302,-37681.59999999999,10
105,-6263215.114143336,6187018.914143337,-38098.09999999999,10
106,-6360617.758838821,6283588.558838822,-38514.59999999999,10
107,-6458518.888162387,6380656.688162387,-38931.09999999999,10
108,-6556915.966160176,6478220.766160177,-39347.59999999999,10
109,-6655806.495191235,6576278.295191236,-39764.09999999999,10
110,-6755188.014972441,6674826.814972442,-40180.59999999999,10
111,-6855058.101656444,6773863.901656445,-40597.09999999999,10
112,-6955414.366941139,6873387.16694114,-41013.59999999999,10
113,-7056254.457209332,6973394.257209333,-41430.09999999999,10
114,-7157576.052697261,7073882.852697262,-41846.59999999999,10
115,-7259376.86669077,7174850.666690771,-42263.09999999999,10
116,-7361654.644747951,7276295.444747952,-42679.59999999999,10
117,-7464407.16394714,7378214.963947141,-43096.09999999999,10
118,-7567632.232159213,7480607.032159214,-43512.59999999999,10
119,-7671327.687343201,7583469.487343201,-43929.09999999999,10
120,-7775491.396864252,7686800.196864253,-44345.59999999999,10
121,-7880121.256833034,7790597.056833034,-44762.09999999999,10
122,-7985215.191465742,7894857.991465743,-45178.59999999999,10
123,-8090771.152463873,7999580.952463874,-45595.09999999999,10
124,-8196787.1184129855,8104763.918412986,-46011.59999999999,10
125,-8303261.0941997245,8210404.894199725,-46428.09999999999,10
126,-8410191.110446386,8316501.910446387,-46844.59999999999,10
127,-8517575.222962357,8423053.022962358,-47261.09999999999,10
128,-8625411.512211783,8530056.312211784,-47677.59999999999,10
129,-8733698.08279686,8637509.882796861,-48094.09999999999,10
130,-8842433.062956154,8745411.862956155,-48510.59999999999,10
131,-8951614.604077403,8853760.404077403,-48927.09999999999,10
132,-9061240.880224261,8962553.680224262,-49343.59999999999,10
133,-9171310.087676471,9071789.887676472,-49760.09999999999,10
134,-9281820.444483012,9181467.244483013,-50176.59999999999,10
135,-9392770.190027684,9291583.990027685,-50593.09999999999,10
136,-9504157.584606778,9402138.384606779,-51009.59999999999,10
137,-9615980.909018334,9513128.709018335,-51426.09999999999,10
138,-9728238.464162603,9624553.264162604,-51842.59999999999,10
139,-9840928.570653347,9736410.370653348,-52259.09999999999,10
140,-9954049.568439545,9848698.368439546,-52675.59999999999,10
141,-10067599.816437228,9961415.616437228,-53092.09999999999,10
142,-10181577.692171017,10074560.492171017,-53508.59999999999,10
143,-10295981.591425093,10188131.391425094,-53925.09999999999,10
144,-10410809.927903255,10302126.727903256,-54341.59999999999,10
145,-10526061.13289779,10416544.932897791,-54758.09999999999,10
146,-10641733.654966816,10531384.454966817,-55174.59999999999,10
147,-10757825.959619882,10646643.759619882,-55591.09999999999,10
148,-10874336.5290115,10762321.3290115,-56007.59999999999,10
149,-10991263.8616424,10878415.6616424,-56424.09999999999,10
150,-11108606.472068233,10994925.272068234,-56840.59999999999,10
151,-11226362.890615461,11111848.690615462,-57257.09999999999,10
152,-11344531.663104292,11229184.463104293,-57673.59999999999,10
153,-11463111.350578316,11346931.150578316,-58090.09999999999,10
154,-11582100.529040765,11465087.329040766,-58506.59999999999,10
155,-11701497.789197074,11583651.589197075,-58923.09999999999,10
156,-11821301.736203633,11702622.536203634,-59339.59999999999,10
157,-11941510.989422495,11821998.789422495,-59756.09999999999,10
158,-12062124.182181874,11941778.982181875,-60172.59999999999,10
159,-12183139.961542271,12061961.761542272,-60589.09999999999,10
160,-12304556.988068031,12182545.788068032,-61005.59999999999,10
161,-12426373.93560419,12303529.735604191,-61422.09999999999,10
162,-12548589.49105846,12424912.29105846,-61838.59999999999,10
163,-12671202.354188167,12546692.154188167,-62255.09999999999,10
164,-12794211.237392057,12668868.037392057,-62671.59999999999,10
165,-12917614.865506774,12791438.665506775,-63088.09999999999,10
166,-13041411.975607887,12914402.775607888,-63504.59999999999,10
167,-13165601.316815365,13037759.116815366,-63921.09999999999,10
168,-13290181.650103347,13161506.450103348,-64337.59999999999,10
169,-13415151.748114077,13285643.548114078,-64754.09999999999,10
170,-13540510.39497593,13410169.194975931,-65170.59999999999,10
171,-13666256.386125358,13535082.186125359,-65587.09999999999,10
172,-13792388.528132698,13660381.328132698,-66003.59999999999,10
173,-13918905.638531694,13786065.438531695,-66420.09999999999,10
174,-14045806.545652682,13912133.345652683,-66836.59999999999,10
175,-14173090.088459264,14038583.888459265,-67253.09999999999,10
176,-14300755.116388455,14165415.916388456,-67669.59999999999,10
177,-14428800.489194164,14292628.289194165,-68086.09999999999,10
178,-14557225.07679392,14420219.876793921,-68502.59999999999,10
179,-14686027.75911879,14548189.55911879,-68919.09999999999,10
0,0.0,0.0,544.0,11
1,0.0,0.0,1214.1,11
2,0.0,0.0,1413.0,11
3,0.0,0.0,11562.2,11
4,0.0,0.0,2050.0,11
5,0.0,0.0,3060.2000000000003,11
6,0.0,0.0,1860.0,11
7,0.0,0.0,1363.2,11
8,0.0,0.0,2302.4,11
9,0.0,0.0,1885.9,11
10,0.0,0.0,613.8,11
11,-11728.336011971092,10411.736011971094,-658.3000000000001,11
12,-26683.75303613804,22822.95303613804,-1930.4,11
13,-44622.78201604518,38217.78201604518,-3202.5,11
14,-65107.68436151096,56158.484361510964,-4474.6,11
15,-87844.28432407451,76350.88432407452,-5746.700000000001,11
16,-112620.21312916533,98582.61312916533,-7018.800000000001,11
17,-139273.33249721376,122691.53249721375,-8290.900000000001,11
18,-167674.73976176695,148548.73976176695,-9563.000000000002,11
19,-197718.81714064872,176048.6171406487,-10835.100000000002,11
20,-229316.99136065593,205102.5913606559,-12107.200000000003,11
21,-262393.6024747905,235635.00247479044,-13379.300000000003,11
22,-296883.0482060773,267580.24820607726,-14651.400000000003,11
23,-332727.73938749597,300880.73938749597,-15923.500000000004,11
24,-369876.59291843313,335485.3929184332,-17195.600000000002,11
25,-408283.89342949016,371348.49342949013,-18467.7,11
26,-447908.4153494671,408428.8153494671,-19739.8,11
27,-488712.7335376486,446688.9335376485,-21011.899999999998,11
28,-530662.673450278,486094.673450278,-22283.999999999996,11
29,-573726.8665322213,526614.6665322214,-23556.099999999995,11
30,-617876.3862961783,568219.9862961784,-24828.199999999993,11
31,-663084.4471977787,610883.8471977786,-26100.299999999992,11
32,-709326.1530342863,654581.3530342863,-27372.39999999999,11
33,-756578.2848682397,699289.2848682397,-28644.49999999999,11
34,-804819.1208379765,744985.9208379765,-29916.599999999988,11
35,-854028.2819462692,791650.8819462693,-31188.699999999986,11
36,-904186.5992032788,839264.9992032789,-32460.799999999985,11
37,-955275.9984674101,887810.19846741,-33732.89999999999,11
38,-1007279.400064654,937269.400064654,-35004.999999999985,11
39,-1060180.630834674,987626.4308346739,-36277.099999999984,11
40,-1113964.346693605,1038865.946693605,-37549.19999999998,11
41,-1168615.96415044,1090973.3641504399,-38821.29999999998,11
42,-1224121.5994887173,1143934.7994887175,-40093.39999999998,11
43,-1280468.014544739,1197737.014544739,-41365.49999999998,11
44,-1337642.568190169,1252367.3681901689,-42637.59999999998,11
45,-1395633.1727700345,1307813.7727700346,-43909.699999999975,11
46,-1454428.254863909,1364064.654863909,-45181.799999999974,11
47,-1514016.7198339142,1421108.9198339144,-46453.89999999997,11
48,-1574387.9197023355,1478935.9197023355,-47725.99999999997,11
49,-1635531.6239673186,1537535.4239673188,-48998.09999999997,11
50,-1697437.9930199755,1596897.5930199756,-50270.19999999997,11
51,-1760097.5538721858,1657012.9538721857,-51542.29999999997,11
52,-1823501.177943131,1717872.3779431311,-52814.399999999965,11
53,-1887640.0606853822,1779467.0606853822,-54086.49999999996,11
54,-1952505.7028592145,1841788.5028592148,-55358.59999999996,11
55,-2018089.8932876003,1904828.4932876003,-56630.69999999996,11
56,-2084384.6929446796,1968579.0929446795,-57902.79999999996,11
57,-2151382.420248016,2033032.6202480157,-59174.89999999996,11
58,-2219075.6374400184,2098181.6374400184,-60446.999999999956,11
59,-2287457.137956998,2164018.9379569977,-61719.099999999955,11
60,-2356519.934695623,2230537.5346956234,-62991.19999999995,11
61,-2426257.2490964592,2297730.6490964596,-64263.29999999995,11
62,-2496662.5009728433,2365591.7009728434,-65535.39999999995,11
63,-2567729.2990209376,2434114.2990209376,-66807.49999999996,11
64,-2639451.431953403,2503292.231953403,-68079.59999999996,11
65,-2711822.8602049835,2573119.460204983,-69351.69999999997,11
66,-2784837.7081634193,2643590.1081634196,-70623.79999999997,11
67,-2858490.2568836906,2714698.456883691,-71895.89999999998,11
68,-2932774.937247591,2786438.937247591,-73167.99999999999,11
69,-3007686.323534244,2858806.123534244,-74440.09999999999,11
70,-3083219.1273703626,2931794.7273703623,-75712.2,11
71,-3159368.1920318794,3005399.59203188,-76984.3,11
72,-3236128.4870711584,3079615.6870711586,-78256.40000000001,11
