,index,lower,upper,value,start,offset,period
0,0,0.0,0.0,1885.9,10,-10,0
1,1,0.0,0.0,613.8,10,-9,1
2,2,0.0,0.0,670.0,10,-8,2
3,3,0.0,0.0,980.9,10,-7,3
4,4,0.0,0.0,233.29999999999995,10,-6,4
5,5,0.0,0.0,1462.5,10,-5,5
6,6,0.0,0.0,4028.2,10,-4,6
7,7,0.0,0.0,2690.7,10,-3,7
8,8,0.0,0.0,212.30000000000018,10,-2,8
9,9,0.0,0.0,499.6,10,-1,9
10,10,-3938.6571668502256,2722.497673055828,928.2511879197518,10,0,10
11,11,-7505.643763064148,6864.084269269752,1102.4702375839515,10,1,11
12,12,-11699.290871750143,11632.33137795575,1488.7160691277782,10,2,12
13,13,-16449.531357257052,16957.17186346266,1761.8809503358036,10,3,13
14,14,-21704.267193415835,22786.50769962144,2049.1809503358045,10,4,14
15,15,-27423.2990988094,29080.13960501501,2336.4809503358047,10,5,15
16,16,-33574.504311736346,35805.94481794195,2623.7809503358058,10,6,16
17,17,-40131.49477914741,42937.53528535302,2894.118807785436,10,7,17
18,18,-47072.11402179956,50452.75452800517,3183.06837614846,10,8,18
19,19,-54377.42767490489,58332.66818111051,3471.545831543832,10,9,19
20,20,-62031.01900347115,66560.85950967677,3772.9809503358083,10,10,20
21,21,-70018.48116575078,75122.92167195638,4088.551187919759,10,11,21
22,22,-78327.04121062625,84006.08171683186,4333.869885107593,10,12,22
23,23,-86945.27512280695,93198.91562901255,4609.437736510255,10,13,23
24,24,-95862.88753504847,102691.1280412541,4908.045831543835,10,14,24
25,25,-105070.53846783556,112473.37897404116,5181.21071275186,10,15,25
26,26,-114559.70498118192,122537.14548738756,5464.470895801115,10,16,26
27,27,-124322.5692191216,132874.60972532723,5769.945831543837,10,17,27
28,28,-134351.9267300828,143478.56723628842,6057.245831543838,10,18,28
29,29,-144641.11058927275,154342.3510954784,6344.545831543839,10,19,29
30,30,-155183.92799614344,165459.76850234906,6589.440475167915,10,20,30
31,31,-165974.60683570697,176825.04734191264,6919.145831543841,10,21,31
32,32,-177007.75028239947,188432.7907886051,7237.543092886188,10,22,32
33,33,-188278.29795837597,200277.9384645816,7564.42142550372,10,23,33
34,34,-199781.49248064563,212355.7329868513,7879.9916630876705,10,24,34
35,35,-211512.85047465248,224661.69098085808,8142.555205201716,10,25,35
36,36,-223468.1373174288,237191.5778236345,8313.240475167922,10,26,36
37,37,-235643.3450165064,249941.385522712,8756.02678187965,10,27,37
38,38,-248034.67274216903,262907.3132483747,9068.769995705206,10,28,38
39,39,-260638.5096181913,276085.750124397,9274.086306711752,10,29,39
40,40,-273451.4194456068,289473.2599518125,9603.791663087677,10,30,40
41,41,-286470.1270895062,303066.56759571185,9834.551187919778,10,31,41
42,42,-299691.5063034993,316862.5468097049,10185.459222483667,10,32,42
43,43,-313112.56880266155,330858.2093088672,10513.751066980396,10,33,43
44,44,-326730.4544253007,345050.6949315064,10809.532138255583,10,34,44
45,45,-340542.42224811594,359437.2627543216,11086.230799161602,10,35,45
46,46,-354545.8425393283,374015.283045534,11377.064578859598,10,36,46
47,47,-368738.189450972,388782.2299571776,11671.432138255586,10,37,47
48,48,-383117.0343653952,403735.6748716008,11873.921425503737,10,38,48
49,49,-397680.0398226427,418873.2803288484,12150.181897727205,10,39,49
50,50,-412424.95396518137,434192.7944713871,12438.715893597746,10,40,50
51,51,-427349.6054447143,449692.0459509199,12733.465101201116,10,41,51
52,52,-442451.8987428674,465368.939249073,13052.198778370714,10,42,52
53,53,-457729.80986353743,481221.4503697432,13345.759222483679,10,43,53
54,54,-473181.3823598261,497247.62286603183,13625.99166308769,10,44,54
55,55,-488804.7236629087,513445.5641691144,13913.291663087693,10,45,55
56,56,-504598.00168399,529813.4421901957,14172.321425503746,10,46,56
57,57,-520559.4416637973,546349.482170003,14469.516008658129,10,47,57
58,58,-536687.3232469206,563051.9637531262,14746.921425503748,10,48,58
59,59,-552979.9777607969,579919.2182670026,15062.4916630877,10,49,59
60,60,-569435.7856813131,596949.6261875189,15363.926781879674,10,50,60
61,61,-586053.1742688986,614141.6147751042,15580.5511879198,10,51,61
62,62,-602830.6153606538,631493.6558668596,15871.384967617794,10,52,62
63,63,-619766.6233055281,649004.2638117337,16126.880950335853,10,53,63
64,64,-636859.7530308528,666671.9935370585,16371.775593959926,10,54,64
65,65,-654108.5982296903,684495.4387358961,16591.227023758445,10,55,65
66,66,-671511.7896594671,702473.2301656727,16875.700000000055,10,56,66
67,67,-689067.9935432621,720604.0340494679,17170.067559396044,10,57,67
68,68,-706775.9100659338,738886.5505721394,17499.77291577197,10,58,68
69,69,-724634.2719579698,757319.5124641755,17672.578453556973,10,59,69
70,70,-742641.8431605977,775901.6836668035,17959.878453556972,10,60,70
71,71,-760797.4175662613,794631.8580724669,18227.389287248203,10,61,71
72,72,-779099.8178290785,813508.8583352843,18429.878574496353,10,62,72
73,73,-797547.8942403682,832531.5347465738,18632.3678617445,10,63,73
74,74,-816140.5236647372,851698.764170943,19032.748812080303,10,64,74
75,75,-834876.6085326041,871009.4490388099,19323.509089160576,10,65,75
76,76,-853755.075885368,890462.5163915737,19579.078574496347,10,66,76
77,77,-872774.8764697392,910056.916975945,19894.6488120803,10,67,77
78,78,-891934.9838780286,929791.6243842342,20153.67857449635,10,68,78
79,79,-911234.3937314376,949665.6342376434,20426.843455704373,10,69,79
80,80,-930672.1229036292,969677.963409835,20728.278574496348,10,70,80
81,81,-950247.208782055,989827.6492882606,21043.848812080298,10,71,81
82,82,-969958.708564719,1010113.7490709248,21331.148812080297,10,72,82
83,83,-989805.6985902176,1030535.3390964234,21646.719049664247,10,73,83
84,84,-1009787.2736990622,1051091.514205268,21877.478574496345,10,74,84
85,85,-1029902.5466244286,1071781.3871306344,22178.913693288323,10,75,85
86,86,-1050150.647410618,1092604.087916824,22450.665062617147,10,76,86
87,87,-1070530.7228576269,1113558.7633638324,22725.243455704367,10,77,87
88,88,-1091041.9359903382,1134644.5764965438,23022.43803885875,10,78,88
89,89,-1111683.4655509528,1155860.7060571583,23301.256967583562,10,79,89
90,90,-1132454.505513365,1177206.3460195707,23601.278574496337,10,80,90
91,91,-1153354.2646182787,1198680.7051244846,23874.443455704364,10,81,91
92,92,-1174381.965927944,1220283.0064341496,24161.743455704363,10,82,92
93,93,-1195536.846399453,1242012.4869056586,24569.19196543615,10,83,93
94,94,-1216818.1564756238,1263868.3969818295,24705.246194362015,10,84,94
95,95,-1238225.1596925445,1285850.00019875,25032.124526979547,10,85,95
96,96,-1259757.132302913,1307956.572809119,25245.63920688544,10,86,96
