,lower,upper,value,start
0,0.0,0.0,2200.0,10
1,0.0,0.0,2050.0,10
2,0.0,0.0,2000.0,10
3,0.0,0.0,2100.0,10
4,0.0,0.0,1650.0,10
5,0.0,0.0,2200.0,10
6,0.0,0.0,2196.205,10
7,0.0,0.0,1800.0,10
8,0.0,0.0,2000.0,10
9,0.0,0.0,2000.0,10
10,-75.68742569206188,4075.687425692062,2000.0,10
11,-2207.2476305996734,6207.247630599673,2000.0,10
12,-4411.817366784188,8411.817366784187,2000.0,10
13,-6687.573031955841,10687.57303195584,2000.0,10
14,-9032.793901993453,13032.793901993453,2000.0,10
15,-11445.865133075364,15445.865133075364,2000.0,10
16,-13925.269473434166,17925.269473434164,2000.0,10
17,-16469.578665869853,20469.578665869853,2000.0,10
18,-19077.445599350933,23077.445599350933,2000.0,10
19,-21747.597298147615,25747.597298147615,2000.0,10
20,-24478.8286817202,28478.8286817202,2000.0,10
21,-27269.99700535111,31269.99700535111,2000.0,10
22,-30120.016895762627,34120.01689576263,2000.0,10
23,-33027.855905911405,37027.855905911405,2000.0,10
24,-35992.53052343152,39992.53052343152,2000.0,10
25,-39013.10257645462,43013.10257645462,2000.0,10
26,-42088.67598852337,46088.67598852337,2000.0,10
27,-45218.39384110248,49218.39384110248,2000.0,10
28,-48401.43570793548,52401.43570793548,2000.0,10
29,-51637.01523035217,55637.01523035217,2000.0,10
30,-54924.37790674623,58924.37790674623,2000.0,10
31,-58262.799072937196,62262.799072937196,2000.0,10
32,-61651.582053107064,65651.58205310706,2000.0,10
33,-65090.05646354522,69090.05646354522,2000.0,10
34,-68577.57665361538,72577.57665361538,2000.0,10
35,-72113.52027023272,76113.52027023272,2000.0,10
36,-75697.28693375576,79697.28693375576,2000.0,10
37,-79328.29701459665,83328.29701459665,2000.0,10
38,-83005.9905010664,87005.9905010664,2000.0,10
39,-86729.8259500274,90729.8259500274,2000.0,10
40,-90499.27951284655,94499.27951284655,2000.0,10
41,-94313.84402994736,98313.84402994736,2000.0,10
42,-98173.02818796615,102173.02818796615,2000.0,10
43,-102076.35573413769,106076.35573413769,2000.0,10
44,-106023.36474308294,110023.36474308294,2000.0,10
45,-110013.60693165413,114013.60693165413,2000.0,10
46,-114046.64701791975,118046.64701791975,2000.0,10
47,-118122.06212075178,122122.06212075178,2000.0,10
48,-122239.44119681294,126239.44119681294,2000.0,10
49,-126398.38451204283,130398.38451204283,2000.0,10
50,-130598.50314500876,134598.50314500876,2000.0,10
51,-134839.41851972617,138839.41851972617,2000.0,10
52,-139120.76196576824,143120.76196576824,2000.0,10
53,-143442.17430367504,147442.17430367504,2000.0,10
54,-147803.30545384655,151803.30545384655,2000.0,10
55,-152203.81406725827,156203.81406725827,2000.0,10
56,-156643.36717647818,160643.36717647818,2000.0,10
57,-161121.6398655904,165121.6398655904,2000.0,10
58,-165638.31495774473,169638.31495774473,2000.0,10
59,-170193.08271915503,174193.08271915503,2000.0,10
60,-174785.64057846327,178785.64057846327,2000.0,10
61,-179415.6928604702,183415.6928604702,2000.0,10
62,-184082.95053331277,188082.95053331277,2000.0,10
63,-188787.1309682368,192787.1309682368,2000.0,10
64,-193527.95771117974,197527.95771117974,2000.0,10
65,-198305.16026543488,202305.16026543488,2000.0,10
66,-203118.47388472364,207118.47388472364,2000.0,10
67,-207967.63937605094,211967.63937605094,2000.0,10
68,-212852.40291176288,216852.40291176288,2000.0,10
69,-217772.51585026807,221772.51585026807,2000.0,10
70,-222727.7345649217,226727.7345649217,2000.0,10
71,-227717.8202806046,231717.8202806046,2000.0,10
72,-232742.53891756397,236742.53891756397,2000.0,10
73,-237801.66094210965,241801.66094210965,2000.0,10
74,-242894.96122378792,246894.96122378792,2000.0,10
75,-248022.21889867942,252022.21889867942,2000.0,10
76,-253183.2172384917,257183.2172384917,2000.0,10
77,-258377.74352513652,262377.7435251365,2000.0,10
78,-263605.58893050376,267605.58893050376,2000.0,10
79,-268866.5484011603,272866.5484011603,2000.0,10
80,-274160.4205477204,278160.4205477204,2000.0,10
81,-279487.00753864966,283487.00753864966,2000.0,10
82,-284846.1149982777,288846.1149982777,2000.0,10
83,-290237.55190881045,294237.55190881045,2000.0,10
84,-295661.1305161449,299661.1305161449,2000.0,10
85,-301116.66623929865,305116.66623929865,2000.0,10
86,-306603.9775832814,310603.9775832814,2000.0,10
87,-312122.8860552421,316122.8860552421,2000.0,10
88,-317673.21608373744,321673.21608373744,2000.0,10
89,-323254.7949409741,327254.7949409741,2000.0,10
90,-328867.4526678884,332867.4526678884,2000.0,10
91,-334511.0220019303,338511.0220019303,2000.0,10
92,-340185.33830743056,344185.33830743056,2000.0,10
93,-345890.23950843426,349890.23950843426,2000.0,10
94,-351625.56602388865,355625.56602388865,2000.0,10
95,-357391.16070508375,361391.16070508375,2000.0,10
96,-363186.8687752446,367186.8687752446,2000.0,10
97,-369012.5377711836,373012.5377711836,2000.0,10
98,-374868.0174869218,378868.0174869218,2000.0,10
99,-380753.15991919825,384753.15991919825,2000.0,10
100,-386667.81921478466,390667.81921478466,2000.0,10
101,-392611.8516195317,396611.8516195317,2000.0,10
102,-398585.11542907415,402585.11542907415,2000.0,10
103,-404587.4709411267,408587.4709411267,2000.0,10
104,-410618.78040930576,414618.78040930576,2000.0,10
105,-416678.9079984155,420678.9079984155,2000.0,10
106,-422767.71974113915,426767.71974113915,2000.0,10
107,-428885.08349607966,432885.08349607966,2000.0,10
108,-435030.8689070974,439030.8689070974,2000.0,10
109,-441204.9473638926,445204.9473638926,2000.0,10
110,-447407.19196378614,451407.19196378614,2000.0,10
111,-453637.477474651,457637.477474651,2000.0,10
112,-459895.6802989514,463895.6802989514,2000.0,10
113,-466181.67843884736,470181.67843884736,2000.0,10
114,-472495.3514623252,476495.3514623252,2000.0,10
115,-478836.5804703151,482836.5804703151,2000.0,10
116,-485205.24806476,489205.24806476,2000.0,10
117,-491601.2383175996,495601.2383175996,2000.0,10
118,-498024.43674063886,502024.43674063886,2000.0,10
119,-504474.7302562662,508474.7302562662,2000.0,10
120,-510952.00716899225,514952.00716899225,2000.0,10
121,-517456.157137781,521456.157137781,2000.0,10
122,-523987.0711491434,527987.0711491434,2000.0,10
123,-530544.6414909683,534544.6414909683,2000.0,10
124,-537128.7617270641,541128.7617270641,2000.0,10
125,-543739.3266723885,547739.3266723885,2000.0,10
126,-550376.2323689389,554376.2323689389,2000.0,10
127,-557039.3760622866,561039.3760622866,2000.0,10
128,-563728.6561787275,567728.6561787275,2000.0,10
129,-570443.9723030332,574443.9723030332,2000.0,10
130,-577185.2251567787,581185.2251567787,2000.0,10
131,-583952.3165772308,587952.3165772308,2000.0,10
132,-590745.1494967781,594745.1494967781,2000.0,10
133,-597563.6279228824,601563.6279228824,2000.0,10
134,-604407.6569185394,608407.6569185394,2000.0,10
135,-611277.142583227,615277.142583227,2000.0,10
136,-618171.9920343305,622171.9920343305,2000.0,10
137,-625092.1133890268,629092.1133890268,2000.0,10
138,-632037.4157466133,636037.4157466133,2000.0,10
139,-639007.8091712687,643007.8091712687,2000.0,10
140,-646003.2046752321,650003.2046752321,2000.0,10
141,-653023.5142023864,657023.5142023864,2000.0,10
142,-660068.6506122354,664068.6506122354,2000.0,10
143,-667138.5276642607,671138.5276642607,2000.0,10
144,-674233.0600026489,678233.0600026489,2000.0,10
145,-681352.1631413759,685352.1631413759,2000.0,10
146,-688495.75344964,692495.75344964,2000.0,10
147,-695663.7481376313,699663.7481376313,2000.0,10
148,-702856.0652426293,706856.0652426293,2000.0,10
149,-710072.6236154166,714072.6236154166,2000.0,10
150,-717313.3429070038,721313.3429070038,2000.0,10
151,-724578.1435556513,728578.1435556513,2000.0,10
152,-731866.9467741842,735866.9467741842,2000.0,10
153,-739179.6745375885,743179.6745375885,2000.0,10
154,-746516.249570883,750516.249570883,2000.0,10
155,-753876.5953372582,757876.5953372582,2000.0,10
156,-761260.6360264731,765260.6360264731,2000.0,10
157,-768668.2965435071,772668.2965435071,2000.0,10
158,-776099.5024974546,780099.5024974546,2000.0,10
159,-783554.1801906597,787554.1801906597,2000.0,10
160,-791032.256608082,795032.256608082,2000.0,10
161,-798533.6594068895,802533.6594068895,2000.0,10
162,-806058.3169062694,810058.3169062694,2000.0,10
163,-813606.1580774543,817606.1580774543,2000.0,10
164,-821177.1125339555,825177.1125339555,2000.0,10
165,-828771.1105219984,832771.1105219984,2000.0,10
166,-836388.0829111568,840388.0829111568,2000.0,10
167,-844027.9611851777,848027.9611851777,2000.0,10
0,0.0,0.0,2200.0,11
1,0.0,0.0,2050.0,11
2,0.0,0.0,2000.0,11
3,0.0,0.0,2100.0,11
4,0.0,0.0,1650.0,11
5,0.0,0.0,2200.0,11
6,0.0,0.0,2196.205,11
7,0.0,0.0,1800.0,11
8,0.0,0.0,2000.0,11
9,0.0,0.0,2000.0,11
10,0.0,0.0,1500.0,11
11,299.4275754804901,1700.57242451951,1000.0,11
12,-1066.527564387466,2066.527564387466,500.0,11
13,-2621.301987173557,2621.301987173557,0.0,11
14,-4337.193200754215,3337.193200754214,-500.0,11
15,-6195.584154822536,4195.584154822536,-1000.0,11
16,-8183.034991808757,5183.034991808757,-1500.0,11
17,-10289.28471459392,6289.2847145939195,-2000.0,11
18,-12506.17565743365,7506.1756574336505,-2500.0,11
19,-14827.023749413313,8827.023749413313,-3000.0,11
20,-17246.22358936814,10246.223589368139,-3500.0,11
21,-19758.987002042857,11758.987002042859,-4000.0,11
22,-22361.16231654997,13361.16231654997,-4500.0,11
23,-25049.104975426268,15049.104975426268,-5000.0,11
24,-27819.58216067458,16819.58216067458,-5500.0,11
25,-30669.700753686917,18669.700753686917,-6000.0,11
26,-33596.85177484148,20596.85177484148,-6500.0,11
27,-36598.66675654336,22598.66675654336,-7000.0,11
28,-39672.98294675177,24672.98294675177,-7500.0,11
29,-42817.81517173284,26817.815171732836,-8000.0,11
30,-46031.33280516171,29031.332805161714,-8500.0,11
31,-49311.84071129163,31311.840711291632,-9000.0,11
32,-52657.76332224791,33657.76332224791,-9500.0,11
33,-56067.63121667596,36067.63121667596,-10000.0,11
34,-59540.069716365746,38540.069716365746,-10500.0,11
35,-63073.78912691325,41073.78912691325,-11000.0,11
36,-66667.57632979991,43667.57632979991,-11500.0,11
37,-70320.28749449216,46320.28749449216,-12000.0,11
38,-74030.8417258043,49030.841725804305,-12500.0,11
39,-77798.21549769392,51798.21549769392,-13000.0,11
40,-81621.43775261214,54621.43775261214,-13500.0,11
41,-85499.58556748611,57499.58556748611,-14000.0,11
42,-89431.78030480356,60431.78030480356,-14500.0,11
43,-93417.18418116172,63417.18418116172,-15000.0,11
44,-97454.997196821,66454.997196821,-15500.0,11
45,-101544.4543788634,69544.4543788634,-16000.0,11
46,-105684.82329794539,72684.82329794539,-16500.0,11
47,-109875.40182470187,75875.40182470187,-17000.0,11
48,-114115.51609686569,79115.51609686569,-17500.0,11
49,-118404.51867232555,82404.51867232555,-18000.0,11
50,-122741.78684681495,85741.78684681495,-18500.0,11
51,-127126.72111783472,89126.72111783472,-19000.0,11
52,-131558.74377886346,92558.74377886346,-19500.0,11
53,-136037.29762998485,96037.29762998487,-20000.0,11
54,-140561.844792824,99561.84479282402,-20500.0,11
