,lower,upper,value,start
0,0.0,0.0,1885.9,10
1,0.0,0.0,613.8,10
2,0.0,0.0,670.0,10
3,0.0,0.0,980.9,10
4,0.0,0.0,233.3,10
5,0.0,0.0,1462.5,10
6,0.0,0.0,4028.2,10
7,0.0,0.0,2690.7000000000003,10
8,0.0,0.0,212.3,10
9,0.0,0.0,499.6,10
10,520.59019887246,4440.518167952569,2480.5541834125142,10
11,8021.372244850503,15861.22818301072,11941.300213930612,10
12,561.9963234096067,12321.780230649932,6441.88827702977,10
13,2396.4128114488085,18076.124687769243,10236.268749609026,10
14,-17114.874866731923,2484.764978668618,-7315.054944031654,10
15,-23387.521866218543,132.04594826210632,-11627.73795897822,10
16,-29137.08216733495,-1697.5863837741872,-15417.334275554567,10
17,-33194.079675145964,-1834.6559225050933,-17514.36779882553,10
18,-45302.987590698394,-10023.635868977417,-27663.311729837907,10
19,-35777.048744941014,3422.230945860074,-16177.408899540469,10
20,-35813.315385391514,7305.892274489681,-14253.711555450918,10
21,-39229.86157442128,7809.274054540025,-15710.293759940627,10
22,-44484.8589177983,6474.204680243114,-19005.327118777594,10
23,-41633.92975066867,13245.061816452851,-14194.433967107909,10
24,-43456.45787267464,15342.461663526996,-14056.99810457382,10
25,-41916.85084014697,20801.99666513478,-10557.427087506096,10
26,-50184.22197420246,16454.5535001594,-16864.83423702153,10
27,-55574.38558773827,14984.317855703695,-20295.033866017286,10
28,-64632.264895860295,9846.36651666179,-27392.94918959925,10
29,-100390.6434181529,-21992.08403655071,-61191.3637273518,10
30,-64574.37883871657,17744.108511965736,-23415.135163375417,10
31,-72330.95182106816,13907.463498694273,-29211.74416118694,10
32,-76929.55350075426,13228.789788088277,-31850.381856332995,10
33,-73669.94410058507,20408.327157337586,-26630.80847162374,10
34,-72045.22706056466,25952.97216643809,-23046.12744706329,10
35,-75716.19431508316,26201.93288099971,-24757.130717041728,10
36,-77105.66909466057,28732.386070502416,-24186.641512079073,10
37,-80980.54970511561,28777.433429127464,-26101.558137994078,10
38,-82710.0781585584,30967.832944764792,-25871.12260689681,10
39,-84060.86681010365,33536.97226229967,-25261.94727390199,10
40,-85027.75375299325,36490.01328849022,-24268.87023225151,10
41,-87737.85275166771,37699.842258895864,-25019.005246385925,10
42,-89270.00538490954,40087.61759473414,-24591.193895087705,10
43,-105904.62969846827,27372.92125025553,-39265.85422410637,10
44,-100338.24675660465,36859.23216119925,-31739.507297702698,10
45,-109202.45753710359,31914.94934978042,-38643.754093661584,10
46,-110119.24406699017,34918.09078897395,-37600.57663900811,10
47,-112385.31607924552,36571.946745798676,-37906.68466672342,10
48,-112144.56016897166,40732.63062515266,-35705.9647719095,10
49,-114807.17058241699,41989.948180787476,-36408.611200814754,10
50,-116034.3928932513,44682.653839033264,-35675.86952710902,10
51,-119168.33157646321,45468.643124901486,-36849.844225780864,10
52,-119377.75533704412,49179.14733340072,-35099.3040018217,10
53,-124908.91569187105,47567.91494765392,-38670.50037210857,10
54,-133098.5196000593,43298.239008545774,-44900.14029575678,10
55,-131810.5470282534,48506.1395494318,-41652.203739410805,10
56,-134174.91651008776,50061.698036677546,-42056.60923670511,10
57,-135997.94915723373,52158.59335861169,-41919.67789931102,10
58,-139260.73332682735,52815.73715809817,-43222.49808436459,10
59,-146121.3888760455,49875.00957796013,-48123.18964904268,10
60,-147611.71494141858,52304.61148166714,-47653.551729875726,10
61,-150387.8153350209,53448.43905714493,-48469.688138937985,10
62,-152342.0319654104,55414.15039583556,-48463.94078478741,10
63,-153737.3012175271,57938.809112798954,-47899.24605236407,10
64,-154615.7950986126,60980.243200793564,-46817.775948909526,10
65,-154829.45647069017,64686.50979779614,-45071.473336447016,10
66,-160055.7223982546,63380.17183931182,-48337.7752794714,10
67,-165138.50891797262,62217.31328867397,-51460.59781464932,10
68,-169379.92280833868,61895.82736738804,-53742.04772047532,10
69,-171600.37990722992,63595.29823757692,-54002.540834826505,10
70,-175583.26896683182,63532.337147055136,-56025.46590988834,10
71,-177217.9774515023,65817.5566314648,-55700.21041001875,10
72,-181466.59034285735,65488.871709189865,-57988.85931683375,10
73,-183282.73507784534,67592.65494328205,-57845.04006728165,10
74,-185085.242985633,69710.07500457452,-57687.58399052923,10
75,-187590.00076106182,71125.24519822578,-58232.37778141803,10
76,-190475.6439203719,72159.53000799578,-59158.05695618806,10
77,-189198.02313490724,77357.07876254058,-55920.47218618334,10
78,-187479.52182843385,82995.50803809409,-52242.00689516988,10
79,-191478.02551680588,82916.93231880217,-54280.54659900185,10
80,-179264.35093513198,99050.53486955617,-40106.908032787906,10
81,-203353.05524144857,78881.75853231967,-62235.64835456446,10
82,-208892.4134887507,77262.32825409767,-65815.04261732652,10
83,-210576.9759856242,79497.69372630426,-65539.64112965997,10
84,-213443.678858124,80550.91882288452,-66446.38001761974,10
85,-216608.2778356554,81306.24781443321,-67651.0150106111,10
86,-219688.65202343374,82145.80159573504,-68771.42521384935,10
87,-219167.20128864533,86587.18029960357,-66290.01049452087,10
88,-218184.49843525275,91489.81112207628,-63347.343656588244,10
89,-220924.8003071165,92669.43721929265,-64127.681543911924,10
90,-224537.1968795242,92976.96861596509,-65780.11413177957,10
91,-229136.98750870873,92297.10595586075,-68419.94077642399,10
92,-239111.89943417272,86242.12199947688,-76434.88871734792,10
93,-237450.0995400577,91823.84986267202,-72813.12483869285,10
94,-244799.51750772094,88394.35986408897,-78202.57882181599,10
95,-249286.6279028323,87827.17743805774,-80729.72523238727,10
96,-251554.4851796004,89479.24813036979,-81037.6185246153,10
97,-254011.30826553842,90942.35301351192,-81534.47762601325,10
98,-255734.4612515276,93139.12799660291,-81297.66662746234,10
99,-256323.75442941097,96469.76278779971,-79926.99582080562,10
100,-258862.8874075283,97850.5577787625,-80506.1648143829,10
101,-258711.2641156565,101922.10903971446,-78394.57753797101,10
102,-264423.9476628989,100129.35346155215,-82147.29710067337,10
103,-265650.7818248354,102822.44726869576,-81414.16727806981,10
104,-267393.6531244161,104999.50393819518,-81197.07459311045,10
105,-274655.68861663144,101657.39641505983,-86499.14610078582,10
106,-280172.481635953,100060.53136481841,-90055.97513556729,10
107,-284718.2751713968,99434.6657984547,-92641.80468647105,10
108,-288818.3312926518,99254.53764627979,-94781.89682318602,10
109,-289145.6961686687,102847.10073934306,-93149.2977146628,10
110,-291556.6638100954,104356.06106699645,-93600.30137154946,10
111,-292146.70910208224,107685.94374408961,-92230.38267899632,10
112,-305047.5254956578,98705.05531959418,-103171.23508803181,10
113,-297775.47819336236,109897.03059096969,-93939.22380119635,10
