,lower,upper,value,start
0,0.0,0.0,2200.0,10
1,0.0,0.0,2200.0,10
2,0.0,0.0,2100.0,10
3,0.0,0.0,2200.0,10
4,0.0,0.0,2000.0,10
5,0.0,0.0,2200.0,10
6,0.0,0.0,2200.0,10
7,0.0,0.0,2200.0,10
8,0.0,0.0,2200.0,10
9,0.0,0.0,2200.0,10
10,221.61184053041393,4178.388159469586,2200.0,10
11,-1765.9349120923762,6165.934912092376,2200.0,10
12,-3765.650159868728,8165.650159868728,2200.0,10
13,-5777.478786945533,10177.478786945532,2200.0,10
14,-7801.3658768838395,12201.36587688384,2200.0,10
15,-9837.257097404035,14237.257097404035,2200.0,10
16,-11885.098744806824,16285.098744806824,2200.0,10
17,-13944.837746067069,18344.837746067067,2200.0,10
18,-16016.421651748573,20416.421651748573,2200.0,10
19,-18099.798626366122,22499.798626366122,2200.0,10
20,-20194.91743799624,24594.91743799624,2200.0,10
21,-22301.727447731537,26701.727447731537,2200.0,10
22,-24420.178599202623,28820.178599202623,2200.0,10
23,-26550.221408258967,30950.221408258967,2200.0,10
24,-28691.80695284742,33091.806952847415,2200.0,10
25,-30844.886863104177,35244.88686310418,2200.0,10
26,-33009.41331166529,37409.41331166529,2200.0,10
27,-35185.33900419542,39585.33900419542,2200.0,10
28,-37372.61717013234,41772.61717013234,2200.0,10
29,-39571.20155364288,43971.20155364288,2200.0,10
30,-41781.046404785535,46181.046404785535,2200.0,10
31,-44002.10647087476,48402.10647087476,2200.0,10
32,-46234.33698804159,50634.33698804159,2200.0,10
33,-48477.69367298545,52877.69367298545,2200.0,10
34,-50732.13271491188,55132.13271491188,2200.0,10
35,-52997.61076765126,57397.61076765126,2200.0,10
36,-55274.08494195343,59674.08494195343,2200.0,10
37,-57561.51279795346,61961.51279795346,2200.0,10
38,-59859.85233780399,64259.85233780399,2200.0,10
39,-62169.06199846933,66569.06199846933,2200.0,10
40,-64489.10064467721,68889.10064467721,2200.0,10
41,-66819.92756202367,71219.92756202367,2200.0,10
42,-69161.50245022726,73561.50245022726,2200.0,10
43,-71513.78541652804,75913.78541652804,2200.0,10
44,-73876.73696922812,78276.73696922812,2200.0,10
45,-76250.31801136944,80650.31801136944,2200.0,10
46,-78634.4898345455,83034.4898345455,2200.0,10
47,-81029.21411284333,85429.21411284333,2200.0,10
48,-83434.45289691242,87834.45289691242,2200.0,10
49,-85850.16860815702,90250.16860815702,2200.0,10
50,-88276.32403304911,92676.32403304911,2200.0,10
51,-90712.88231755831,95112.88231755831,2200.0,10
52,-93159.80696169623,97559.80696169623,2200.0,10
53,-95617.06181417209,100017.06181417209,2200.0,10
54,-98084.61106715673,102484.61106715673,2200.0,10
55,-100562.41925115243,104962.41925115243,2200.0,10
56,-103050.45122996588,107450.45122996588,2200.0,10
57,-105548.6721957815,109948.6721957815,2200.0,10
58,-108057.04766433276,112457.04766433276,2200.0,10
59,-110575.54347016908,114975.54347016908,2200.0,10
60,-113104.12576201602,117504.12576201602,2200.0,10
61,-115642.76099822612,120042.76099822612,2200.0,10
62,-118191.41594231865,122591.41594231865,2200.0,10
63,-120750.05765860577,125150.05765860577,2200.0,10
64,-123318.65350790306,127718.65350790306,2200.0,10
65,-125897.17114332259,130297.17114332259,2200.0,10
66,-128485.57850614624,132885.57850614624,2200.0,10
67,-131083.8438217776,135483.8438217776,2200.0,10
68,-133691.93559577042,138091.93559577042,2200.0,10
69,-136309.82260993196,140709.82260993196,2200.0,10
70,-138937.4739184994,143337.4739184994,2200.0,10
71,-141574.85884438732,145974.85884438732,2200.0,10
72,-144221.94697550536,148621.94697550536,2200.0,10
73,-146878.70816114347,151278.70816114347,2200.0,10
74,-149545.11250842386,153945.11250842386,2200.0,10
75,-152221.13037881785,156621.13037881785,2200.0,10
76,-154906.73238472626,159306.73238472626,2200.0,10
77,-157601.88938612177,162001.88938612177,2200.0,10
78,-160306.57248725177,164706.57248725177,2200.0,10
79,-163020.75303340083,167420.75303340083,2200.0,10
80,-165744.40260771068,170144.40260771068,2200.0,10
81,-168477.493028057,172877.493028057,2200.0,10
82,-171219.99634398162,175619.99634398162,2200.0,10
83,-173971.88483367863,178371.88483367863,2200.0,10
84,-176733.13100103376,181133.13100103376,2200.0,10
85,-179503.7075727152,183903.7075727152,2200.0,10
86,-182283.58749531544,186683.58749531544,2200.0,10
87,-185072.74393254207,189472.74393254207,2200.0,10
88,-187871.1502624577,192271.1502624577,2200.0,10
89,-190678.78007476684,195078.78007476684,2200.0,10
90,-193495.6071681494,197895.6071681494,2200.0,10
91,-196321.6055476395,200721.6055476395,2200.0,10
92,-199156.74942204874,203556.74942204874,2200.0,10
93,-202001.01320143288,206401.01320143288,2200.0,10
94,-204854.37149460128,209254.37149460128,2200.0,10
95,-207716.79910666795,212116.79910666795,2200.0,10
96,-210588.2710366432,214988.2710366432,2200.0,10
97,-213468.76247506548,217868.76247506548,2200.0,10
98,-216358.24880167248,220758.24880167248,2200.0,10
99,-219256.7055831099,223656.7055831099,2200.0,10
100,-222164.1085706786,226564.1085706786,2200.0,10
101,-225080.43369811788,229480.43369811788,2200.0,10
102,-228005.65707942488,232405.65707942488,2200.0,10
103,-230939.75500670963,235339.75500670963,2200.0,10
104,-233882.70394808397,238282.70394808397,2200.0,10
105,-236834.48054558504,241234.48054558504,2200.0,10
106,-239795.0616131315,244195.0616131315,2200.0,10
107,-242764.42413451226,247164.42413451226,2200.0,10
108,-245742.54526140742,250142.54526140742,2200.0,10
109,-248729.40231144003,253129.40231144003,2200.0,10
110,-251724.97276625884,256124.97276625884,2200.0,10
111,-254729.23426965065,259129.23426965065,2200.0,10
112,-257742.1646256824,262142.1646256824,2200.0,10
113,-260763.74179687217,265163.7417968722,2200.0,10
114,-263793.94390238787,268193.94390238787,2200.0,10
115,-266832.7492162747,271232.7492162747,2200.0,10
116,-269880.1361657086,274280.1361657086,2200.0,10
117,-272936.08332927746,277336.08332927746,2200.0,10
118,-276000.56943528773,280400.56943528773,2200.0,10
119,-279073.573360097,283473.573360097,2200.0,10
120,-282155.0741264721,286555.0741264721,2200.0,10
121,-285245.05090197094,289645.05090197094,2200.0,10
122,-288343.48299734975,292743.48299734975,2200.0,10
123,-291450.349864993,295850.349864993,2200.0,10
124,-294565.6310973679,298965.6310973679,2200.0,10
125,-297689.3064255003,302089.3064255003,2200.0,10
126,-300821.3557174746,305221.3557174746,2200.0,10
127,-303961.75897695415,308361.75897695415,2200.0,10
128,-307110.49634172494,311510.49634172494,2200.0,10
129,-310267.54808225913,314667.54808225913,2200.0,10
130,-313432.8946003004,317832.8946003004,2200.0,10
131,-316606.51642746915,321006.51642746915,2200.0,10
132,-319788.3942238881,324188.3942238881,2200.0,10
133,-322978.5087768279,327378.5087768279,2200.0,10
134,-326176.8409993714,330576.8409993714,2200.0,10
135,-329383.3719290978,333783.3719290978,2200.0,10
136,-332598.082726785,336998.082726785,2200.0,10
137,-335820.95467512996,340220.95467512996,2200.0,10
138,-339051.96917748835,343451.96917748835,2200.0,10
139,-342291.10775663046,346691.10775663046,2200.0,10
140,-345538.35205351555,349938.35205351555,2200.0,10
141,-348793.68382608274,353193.68382608274,2200.0,10
142,-352057.084948059,356457.084948059,2200.0,10
143,-355328.53740778356,359728.53740778356,2200.0,10
144,-358608.0233070483,363008.0233070483,2200.0,10
145,-361895.5248599548,366295.5248599548,2200.0,10
146,-365191.0243917859,369591.0243917859,2200.0,10
147,-368494.50433789386,372894.50433789386,2200.0,10
148,-371805.94724260276,376205.94724260276,2200.0,10
149,-375125.33575812634,379525.33575812634,2200.0,10
150,-378452.6526435,382852.6526435,2200.0,10
151,-381787.8807635277,386187.8807635277,2200.0,10
152,-385131.0030877425,389531.0030877425,2200.0,10
153,-388482.0026893809,392882.0026893809,2200.0,10
154,-391840.8627443719,396240.8627443719,2200.0,10
155,-395207.56653033785,399607.56653033785,2200.0,10
156,-398582.0974256098,402982.0974256098,2200.0,10
157,-401964.43890825537,406364.43890825537,2200.0,10
158,-405354.5745551193,409754.5745551193,2200.0,10
159,-408752.48804087663,413152.48804087663,2200.0,10
160,-412158.16313709837,416558.16313709837,2200.0,10
161,-415571.58371132915,419971.58371132915,2200.0,10
