,lower,upper,value,start
0,0.0,0.0,544.0,90
1,0.0,0.0,1214.1,90
2,0.0,0.0,1413.0,90
3,0.0,0.0,11562.2,90
4,0.0,0.0,2050.0,90
5,0.0,0.0,3060.2000000000003,90
6,0.0,0.0,1860.0,90
7,0.0,0.0,1363.2,90
8,0.0,0.0,2302.4,90
9,0.0,0.0,1885.9,90
10,0.0,0.0,613.8,90
11,0.0,0.0,670.0,90
12,0.0,0.0,980.9,90
13,0.0,0.0,233.3,90
14,0.0,0.0,1462.5,90
15,0.0,0.0,4028.2,90
16,0.0,0.0,2690.7000000000003,90
17,0.0,0.0,212.3,90
18,0.0,0.0,499.6,90
19,0.0,0.0,1555.0,90
20,0.0,0.0,992.4,90
21,0.0,0.0,1452.9,90
22,0.0,0.0,948.8,90
23,0.0,0.0,832.2,90
24,0.0,0.0,1410.8,90
25,0.0,0.0,483.3,90
26,0.0,0.0,2687.7,90
27,0.0,0.0,5549.7,90
28,0.0,0.0,1703.4,90
29,0.0,0.0,616.5,90
30,0.0,0.0,1197.4,90
31,0.0,0.0,1402.9,90
32,0.0,0.0,3448.2,90
33,0.0,0.0,4701.2,90
34,0.0,0.0,1401.3,90
35,0.0,0.0,810.1,90
36,0.0,0.0,106.1,90
37,0.0,0.0,2296.8,90
38,0.0,0.0,4684.3,90
39,0.0,0.0,1231.2,90
40,0.0,0.0,580.4,90
41,0.0,0.0,3340.2,90
42,0.0,0.0,990.3,90
43,0.0,0.0,2626.6,90
44,0.0,0.0,344.9,90
45,0.0,0.0,840.7,90
46,0.0,0.0,725.6,90
47,0.0,0.0,2551.2,90
48,0.0,0.0,559.8,90
49,0.0,0.0,627.0,90
50,0.0,0.0,1821.5,90
51,0.0,0.0,645.1,90
52,0.0,0.0,1508.5,90
53,0.0,0.0,1571.1,90
54,0.0,0.0,981.7,90
55,0.0,0.0,2002.8,90
56,0.0,0.0,443.8,90
57,0.0,0.0,1793.3,90
58,0.0,0.0,2895.2999999999997,90
59,0.0,0.0,1214.6,90
60,0.0,0.0,2392.4,90
61,0.0,0.0,2109.9,90
62,0.0,0.0,431.1,90
63,0.0,0.0,1766.8000000000002,90
64,0.0,0.0,3475.6,90
65,0.0,0.0,2897.8,90
66,0.0,0.0,584.8,90
67,0.0,0.0,1525.1,90
68,0.0,0.0,2503.9,90
69,0.0,0.0,2233.6,90
70,0.0,0.0,1600.4,90
71,0.0,0.0,362.6,90
72,0.0,0.0,756.0,90
73,0.0,0.0,1510.0,90
74,0.0,0.0,1659.3,90
75,0.0,0.0,2123.5,90
76,0.0,0.0,1790.2,90
77,0.0,0.0,538.0,90
78,0.0,0.0,425.1,90
79,0.0,0.0,600.6,90
80,0.0,0.0,939.5,90
81,0.0,0.0,1611.3,90
82,0.0,0.0,2126.4,90
83,0.0,0.0,671.3,90
84,0.0,0.0,311.1,90
85,0.0,0.0,334.5,90
86,0.0,0.0,390.0,90
87,0.0,0.0,1366.2,90
88,0.0,0.0,411.7,90
89,0.0,0.0,2290.9,90
90,-22.283676613113812,3128.253825182871,1552.9850742848785,90
91,-1309.471816207748,2080.958770773895,385.7434772830736,90
92,-941.203044414048,2450.470595743581,754.6337756647665,90
93,-291.42591753693614,3106.532990594777,1407.5535365289204,90
94,-111.80730447204633,3325.4651477416196,1606.8289216347866,90
95,-912.1470397331636,2713.736738086051,900.7948491764437,90
96,-1397.4392824088368,2287.2863003183274,444.9235089547452,90
97,-1117.5953761263845,2565.4991492141357,723.9518865438757,90
98,-985.190959045639,2751.513391445915,883.161216200138,90
99,-696.93139889555,3062.366020224764,1182.7173106646069,90
100,-581.9614464309673,3204.411626821832,1311.2250901954326,90
101,-824.901918232274,3088.9897190396523,1132.0439004036891,90
102,-1803.6425070006017,2223.954308140664,210.15590057003135,90
103,-1277.7497036898524,2747.7095596941554,734.9799280021516,90
104,-1268.5392427386691,2825.0323928247412,778.246575043036,90
105,-1007.7508562210869,3103.373281921412,1047.8112128501625,90
106,-778.1952132281983,3373.121007805011,1297.4628972884063,90
107,-1231.3945825128276,3049.080099135512,908.8427583113422,90
108,-1849.6670145704284,2504.63734936708,327.48516739832587,90
109,-1572.2632689189809,2794.4761587481703,611.1064449145946,90
110,-1584.3797170079015,2829.686921196155,622.6536020941268,90
111,-1154.0463812440544,3276.4800186004345,1061.21681867819,90
112,-1121.7938430930078,3377.8706568936823,1128.0384069003373,90
113,-1503.0976774108603,3093.237403338884,795.0698629640119,90
114,-1924.045889133772,2745.831577391543,410.8928441288854,90
115,-1922.5005576910962,2780.411801620391,428.9556219646475,90
116,-1785.905740584495,2947.3589746718935,580.7266170436993,90
117,-1397.6087503349484,3363.86050710117,983.1258783831106,90
118,-1445.0564415048916,3389.830968095264,972.3872632951862,90
