Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2013-12-07,24/07/2013,23/08/2013,WEE****24,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,17.4,1250.0,2013-12-07,735209,0
Recorded,2009-04-30,13/07/2009,11/09/2009,WEE****80,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,13.4,0.07,2009-04-30,733527,1
Recorded,2018-04-13,26/04/2018,01/05/2018,WEE****36,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,1.0,2800.0,2018-04-13,736797,0
Recorded,2020-11-29,30/11/2020,08/01/2021,WEE****88,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,600.0,0.0,2020-11-29,737758,1
Recorded,2014-02-14,25/03/2014,20/05/2014,WEE****48,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,2.0,0.0,2014-02-14,735278,1
Recorded,2014-03-18,03/04/2014,23/04/2014,WEE****99,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,114.0,225.0,2014-03-18,735310,1
Refused,2009-12-15,16/12/2009,16/12/2009,WEE****68,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,10.0,2000.0,2009-12-15,733756,0
Recorded,2011-02-09,05/09/2011,29/09/2011,WEE****64,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,95.8,1600.0,2011-02-09,734177,0
Recorded,2022-11-14,07/12/2022,16/12/2022,WEE****50,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,4.0,0.0,2022-11-14,738473,1
Recorded,2017-06-21,26/06/2017,12/07/2017,WEE****40,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,32.6,2600.0,2017-06-21,736501,0
Recorded,2017-06-19,23/06/2017,14/08/2017,WEE****75,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,2.0,1250.0,2017-06-19,736499,0
