Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2020-06-01,09/01/2020,10/03/2020,WEE****26,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,0.5,1219.52,2020-06-01,737577,1
Recorded,2022-09-09,28/09/2022,13/10/2022,WEE****71,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,6.3,7700.0,2022-09-09,738407,0
Recorded,2022-02-03,11/03/2022,07/04/2022,WEE****72,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,2.0,0.0,2022-02-03,738189,1
Recorded,2018-06-14,15/06/2018,04/07/2018,WEE****90,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,5.0,3200.0,2018-06-14,736859,0
Recorded,2014-03-04,16/04/2014,13/06/2014,WEE****65,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,1.0,1431.0,2014-03-04,735296,0
Recorded,2013-10-16,24/10/2013,04/12/2013,WEE****92,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,1.0,1.0,2013-10-16,735157,1
Recorded,2010-12-23,14/01/2011,23/02/2011,WEE****10,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,0.2,0.0,2010-12-23,734129,1
Recorded,2023-09-03,21/03/2023,09/05/2023,WEE****37,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,2.0,0.0,2023-09-03,738766,1
Recorded,2011-08-16,20/09/2011,10/11/2011,WEE****90,Murray,Low,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,7.2,0.0,2011-08-16,734365,1
Recorded,2021-12-08,24/08/2021,16/09/2021,WEE****70,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,1.0,0.0,2021-12-08,738132,1
Recorded,2019-01-08,07/08/2019,15/08/2019,WEE****27,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,1.0,3500.0,2019-01-08,737067,0
Recorded,2020-03-31,04/04/2020,27/04/2020,WEE****19,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,2.0,6500.0,2020-03-31,737515,0
Recorded,2015-12-17,22/12/2015,08/02/2016,WEE****96,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,20.0,3200.0,2015-12-17,735949,0
Recorded,2011-08-12,12/12/2011,29/12/2011,WEE****42,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,12.5,1700.0,2011-08-12,734361,0
Recorded,2017-08-16,31/10/2017,16/11/2017,WEE****30,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,1.5,3200.0,2017-08-16,736557,0
Recorded,2015-08-31,09/09/2015,23/10/2015,WEE****22,Murray,Low,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,105.6,295.0,2015-08-31,735841,1
