,lower,upper,value,start
0,0.0,0.0,2400.0,20
1,0.0,0.0,2300.0,20
2,0.0,0.0,2289.615714285714,20
3,0.0,0.0,2245.1848,20
4,0.0,0.0,2311.634671532847,20
5,0.0,0.0,2318.7347727272727,20
6,0.0,0.0,2307.0067532467533,20
7,0.0,0.0,2213.0639215686274,20
8,0.0,0.0,1990.1335714285717,20
9,0.0,0.0,2232.5687179487177,20
10,0.0,0.0,2130.874285714286,20
11,0.0,0.0,2009.3783783783783,20
12,0.0,0.0,2077.058529411765,20
13,0.0,0.0,2074.583333333333,20
14,0.0,0.0,1952.845,20
15,0.0,0.0,2060.07412371134,20
16,0.0,0.0,1962.1066666666668,20
17,0.0,0.0,1976.55,20
18,0.0,0.0,1903.689677419355,20
19,0.0,0.0,1801.1836842105265,20
20,,,2466.38980334611,20
21,,,2365.1963942843286,20
22,,,2735.771504574095,20
23,,,2172.2301639045454,20
24,,,2160.6814496550614,20
25,,,2209.4562275296794,20
26,1423.7748622258905,1423.7751349524124,1423.7749985891514,20
27,1400.723070891442,1400.7233973971645,1400.7232341443032,20
28,1077.7037816599507,1077.703888034045,1077.7038348469978,20
29,695.9825276011371,695.9827765355284,695.9826520683328,20
30,726.9965044989619,726.9969479190006,726.9967262089813,20
31,-398.22380518691983,-398.22314823033327,-398.22347670862655,20
32,-388.8454249040465,-388.84456907696716,-388.84499699050684,20
33,-381.95458035417,-381.9535062931205,-381.95404332364524,20
34,-361.7079295608546,-361.70662925950637,-361.7072794101805,20
35,-579.6328894301299,-579.6313546274793,-579.6321220288046,20
36,-328.1627688190998,-328.1609907239439,-328.16187977152185,20
37,-861.842049468619,-861.8400182511457,-861.8410338598824,20
38,-1098.3592287061133,-1098.356935862988,-1098.3580822845506,20
39,-1390.0344661140034,-1390.0319440065987,-1390.033205060301,20
40,-1966.911153232905,-1966.9084591473613,-1966.9098061901332,20
41,-2680.89993463286,-2680.8969840668833,-2680.8984593498717,20
42,-3554.64146836651,-3554.6382256107063,-3554.639846988608,20
43,-4059.9966930807536,-4059.9931259431355,-4059.9949095119446,20
44,-4265.108379643489,-4265.1044753132755,-4265.106427478382,20
45,-5073.986946938132,-5073.982680722287,-5073.9848138302095,20
46,-5473.969951470174,-5473.965306337294,-5473.967628903734,20
47,-5625.102332483975,-5625.097291141488,-5625.099811812732,20
48,-6159.424447323715,-6159.418994257924,-6159.42172079082,20
49,-6462.969444141286,-6462.963564035971,-6462.966504088628,20
50,-6784.479674852957,-6784.473353698095,-6784.476514275526,20
51,-7597.281033094794,-7597.274287479444,-7597.277660287119,20
52,-8381.489996238053,-8381.482861517039,-8381.486428877546,20
53,-9097.670373341934,-9097.662782066996,-9097.666577704465,20
54,-10029.87237837458,-10029.864297756289,-10029.868338065435,20
55,-10986.564927581023,-10986.556326579992,-10986.560627080507,20
56,-11308.166801873902,-11308.157664066248,-11308.162232970075,20
57,-11937.814404998984,-11937.80470466305,-11937.809554831018,20
