,lower,upper,value,start
0,0.0,0.0,2150.0,10
1,0.0,0.0,2073.684210526316,10
2,0.0,0.0,2106.35,10
3,0.0,0.0,2306.540896551724,10
4,0.0,0.0,2140.52575,10
5,0.0,0.0,2260.359605263158,10
6,0.0,0.0,2232.448552631579,10
7,0.0,0.0,1967.510198019802,10
8,0.0,0.0,2146.595681818182,10
9,0.0,0.0,2183.6266101694914,10
10,303.17461006796884,4225.228972358002,2264.201791212985,10
11,-1859.864146060203,5985.3074149074,2062.7216344235985,10
12,-3894.0353641527126,7875.670217412755,1990.8174266300211,10
13,-5893.008753059098,9802.647291333473,1954.8192691371878,10
14,-7510.525009965966,12112.497556866338,2300.9862734501858,10
15,-9322.804889659752,14228.999876351178,2453.097493345713,10
16,-11256.846668330689,16225.155590847886,2484.1544612585985,10
17,-13385.818806858417,18027.795856945824,2320.9885250437037,10
18,-15604.583910859383,19742.057686747892,2068.7368879442547,10
19,-17696.86878560375,21584.213892965985,1943.6725536811173,10
20,-19985.550438305916,23231.38708663598,1622.9183241650317,10
21,-21969.46121572824,25184.7445395166,1607.6416618941803,10
22,-24333.464821949274,26759.422166322365,1212.978672186544,10
23,-25956.21892706276,29076.761916025225,1560.2714944812324,10
24,-28269.995642658374,30704.49129637405,1217.2478268578361,10
25,-30528.692641994796,32388.712253721544,930.0098058633739,10
26,-32578.79644076969,34282.93789225421,852.0707257422582,10
27,-34118.53105805305,36688.94381305881,1285.2063775028782,10
28,-36088.9083567767,38665.71777363268,1288.40470842799,10
29,-38011.76607176187,40691.42165985593,1339.8277940470307,10
30,-40452.64702596319,42200.51226974718,873.9326218919941,10
31,-41873.230835386596,44731.309608545314,1429.0393865793558,10
32,-43918.21635194785,46639.11444585082,1360.4490469514822,10
33,-46074.51991842002,48437.01006067793,1181.2450711289548,10
34,-48144.93874754507,50322.19886234275,1088.6300573988392,10
35,-50225.32909075341,52198.82422174346,986.7475654950213,10
36,-53018.43415464842,53364.142554875434,172.85420011351016,10
37,-54847.51060883388,55494.89681500361,323.69310308486456,10
38,-56951.233758952905,57352.411319623105,200.58878033510155,10
39,-58892.08577917337,59374.20351797367,241.05886940014898,10
40,-60903.23170860123,61327.107994625985,211.93814301237944,10
41,-62721.80784049495,63473.98808026692,376.09011988599013,10
42,-64384.07329772789,65778.58427623681,697.2554892544631,10
43,-66689.77322644813,67441.15106086957,375.6889172107185,10
44,-68811.17168805102,69289.42399751942,239.12615473419646,10
45,-70467.61040069895,71604.06099304125,568.2252961711438,10
46,-72440.74556537556,73603.40547173588,581.3299531801604,10
47,-74845.1285404364,75172.90570079918,163.888580181394,10
48,-77093.56991012761,76899.75072180302,-96.90959416229089,10
49,-79339.0287687344,78630.98106654655,-354.0238510939271,10
50,-81576.71933233443,80371.38214530259,-602.6685935159239,10
51,-83299.5935772232,82628.00160839171,-335.79598441573944,10
52,-85176.78202996135,84731.70855613501,-222.53673691316362,10
53,-87171.54364250042,86719.24366372768,-226.14998938636018,10
54,-89128.27092769444,88746.21404572735,-191.02844098354035,10
55,-90887.47959020144,90972.10362515219,42.31201747537489,10
56,-93060.61651819595,92785.46514176822,-137.57568821387395,10
57,-95221.51775312808,94612.46218232982,-304.527785399132,10
58,-97649.64634372747,96173.63132657555,-738.00750857596,10
59,-99502.97813076024,98310.99636247083,-595.9908841447032,10
60,-101442.94458045723,100363.12545277961,-539.9095638388062,10
61,-103327.5700819649,102471.99383761284,-427.7881221760272,10
62,-105755.22384683891,104039.23193493501,-857.9959559519539,10
63,-107977.56876434754,105813.17648526006,-1082.1961395437447,10
64,-110078.06850101441,107710.3634521086,-1183.8525244528973,10
65,-111778.35595706006,110009.15956556602,-884.598195747014,10
66,-113915.64178068534,111872.35380799876,-1021.6439863432843,10
67,-116261.10009915294,113528.77168297238,-1366.1642080902839,10
68,-118118.06704321672,115675.0766908222,-1221.495176197268,10
69,-120074.42879138286,117723.38228439169,-1175.5232534955903,10
70,-121738.24948169997,120065.62395724202,-836.3127622289776,10
71,-124327.78659512059,121483.54386029049,-1422.121367415053,10
72,-126851.50779279579,122968.67396451543,-1941.4169141401817,10
73,-128878.39988107792,124952.02709595325,-1963.1863925623275,10
74,-130905.15732138978,126936.90842582898,-1984.124447780394,10
75,-133193.8517130247,128661.245987756,-2266.302862634344,10
76,-135086.00396337928,130783.51850750275,-2151.2427279382664,10
77,-136833.43016028346,133051.90953066264,-1890.7603148104154,10
78,-138492.21105792845,135410.33793672582,-1540.9365606013125,10
79,-140153.6851975231,137767.46481842222,-1193.110189550449,10
80,-142185.08492772517,139756.05746129042,-1214.5137332173854,10
81,-143899.1952394315,142063.33050888704,-917.932365272216,10
82,-145392.24428891862,144593.05543964548,-399.5944246365816,10
83,-147747.11939391226,146262.34457080683,-742.3874115527051,10
84,-150154.7527916619,147880.26530034456,-1137.2437456586595,10
85,-152079.2511846627,149982.7105612423,-1048.2703117101937,10
86,-154032.43842442977,152057.8561377195,-987.2911433551417,10
87,-156131.62181165811,153988.394365071,-1071.613723293549,10
88,-158097.39387380827,156053.73235208145,-1021.830760863395,10
89,-159763.36961043964,158420.25473569112,-671.5574373742547,10
90,-161752.71556964342,160464.7946045634,-643.9604825400238,10
91,-163936.2018657268,162316.5814813997,-809.810192163528,10
92,-166433.32892052853,163856.114581624,-1288.6071694522707,10
93,-168408.57206184472,165918.9182149565,-1244.8269234441177,10
94,-170299.36863884566,168067.55466999687,-1115.906984424384,10
95,-173161.93398344342,169245.80825285608,-1958.062865293672,10
96,-175437.8296716302,171012.1170258176,-2212.856322906313,10
97,-177356.55720502912,173136.97912578698,-2109.789039621064,10
98,-179428.5729220352,175109.93785315004,-2159.317534442587,10
99,-181785.75091099547,176799.11875859264,-2493.3160762014304,10
100,-183504.2675715987,179128.3450817106,-2187.961244944043,10
101,-185614.57599548477,181067.16337040026,-2273.7063125422574,10
102,-187265.1372246672,183467.1122224355,-1899.0125011158434,10
103,-189428.7182395385,185355.42429746228,-2036.6469710381098,10
104,-191450.8794535438,187386.53882232448,-2032.17031560965,10
105,-193574.37132341153,189317.7049808331,-2128.3331712892086,10
106,-195841.1983525774,191106.91791034205,-2367.14022111769,10
107,-198259.0114188587,192746.52637407355,-2756.2425223925657,10
108,-201014.14574674726,194050.19478882483,-3481.9754789612325,10
109,-202628.61799157047,196495.90614080688,-3066.3559253817966,10
110,-204704.7708337752,198481.31739136032,-3111.7267212074494,10
111,-206702.97350195522,200546.05895392766,-3078.4572740137755,10
112,-208965.25021767447,202348.10624922958,-3308.5719842224644,10
113,-210409.3484300898,204969.7114706424,-2719.8184797237172,10
114,-212161.60166990722,207284.54073024093,-2438.530469833144,10
115,-213997.7990238011,209516.80458437948,-2240.4972197108254,10
116,-216267.52345887086,211316.91970923488,-2475.301874817993,10
117,-218502.15087870264,213153.5098447441,-2674.3205169792764,10
118,-220904.40616959156,214823.8497483822,-3040.278210604687,10
119,-223686.09694183886,216116.1314538648,-3784.982743987026,10
120,-226148.83790966938,217728.73989123025,-4210.049009219569,10
121,-227628.33433035694,220325.96944771384,-3651.182441321538,10
122,-229257.3055448379,222775.1004271345,-3241.1025588517223,10
123,-231501.06484902036,224610.81917858464,-3445.122835217853,10
124,-233206.22476652978,226986.5128236848,-3109.8559714224884,10
125,-235106.9452833494,229168.0210219427,-2969.4621307033412,10
126,-237109.68419652423,231248.8856220492,-2930.399287237531,10
127,-239188.65045392816,233254.89732211048,-2966.876565908844,10
128,-240633.68062726487,235896.21919664755,-2368.7307153086713,10
129,-243460.9781161245,237156.64749253864,-3152.1653117929363,10
130,-245777.86382962446,238928.86094737847,-3424.501441122993,10
131,-247184.28285862383,241612.9141172637,-2785.684370680063,10
132,-249720.9102226171,243168.13162989868,-3276.389296359208,10
133,-252434.4896802241,244547.7693741052,-3943.360153059455,10
