Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2016-07-15,21/07/2016,11/08/2016,WEE****22,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,10.0,2600.0,2016-07-15,736160,0
Recorded,2014-10-02,20/02/2014,07/03/2014,WEE****83,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,823.4,1300.0,2014-10-02,735508,0
Recorded,2012-05-01,17/01/2012,01/03/2012,WEE****22,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,650.0,2200.0,2012-05-01,734624,0
Recorded,2018-11-19,06/12/2018,02/01/2019,WEE****20,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,7.0,2857.14,2018-11-19,737017,0
Recorded,2015-02-07,13/07/2015,31/07/2015,WEE****22,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,180.0,1400.0,2015-02-07,735636,0
Recorded,2009-11-20,24/11/2009,16/12/2009,WEE****16,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,4.0,2000.0,2009-11-20,733731,0
Recorded,2011-06-29,30/06/2011,12/08/2011,WEE****92,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,96.0,1700.0,2011-06-29,734317,0
Recorded,2016-06-24,29/06/2016,27/07/2016,WEE****20,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,2.0,3000.0,2016-06-24,736139,0
Recorded,2024-03-13,14/03/2024,27/03/2024,WEE****67,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,99.0,4570.0,2024-03-13,738958,0
Recorded,2014-04-23,02/05/2014,26/06/2014,WEE****38,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,81.0,1448.15,2014-04-23,735346,0
Recorded,2011-12-08,24/08/2011,29/09/2011,WEE****40,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,157.4,1700.0,2011-12-08,734479,0
Recorded,2013-11-20,02/12/2013,31/01/2014,WEE****53,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,80.0,1300.0,2013-11-20,735192,0
Recorded,2012-06-20,22/06/2012,05/07/2012,WEE****71,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,18.0,1850.0,2012-06-20,734674,0
Recorded,2015-03-03,08/03/2015,17/04/2015,WEE****97,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,2.0,2000.0,2015-03-03,735660,0
Recorded,2018-09-20,05/10/2018,23/10/2018,WEE****82,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,49.5,3640.0,2018-09-20,736957,0
Recorded,2013-05-03,07/03/2013,16/04/2013,WEE****12,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,559.4,1200.0,2013-05-03,734991,0
Recorded,2014-05-06,09/06/2014,23/06/2014,WEE****57,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,25.0,1250.0,2014-05-06,735359,0
Recorded,2011-07-10,19/10/2011,24/11/2011,WEE****78,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,3.5,1500.0,2011-07-10,734328,0
Recorded,2010-05-26,17/06/2010,09/07/2010,WEE****96,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,2.0,2000.0,2010-05-26,733918,0
Recorded,2011-07-26,27/07/2011,30/08/2011,WEE****37,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,32.9,1600.0,2011-07-26,734344,0
Recorded,2009-07-17,17/07/2009,11/09/2009,WEE****69,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,100.0,2200.0,2009-07-17,733605,0
Recorded,2012-02-14,15/02/2012,11/04/2012,WEE****76,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,7.0,1800.0,2012-02-14,734547,0
Recorded,2014-04-14,01/05/2014,19/05/2014,WEE****09,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,50.0,1200.0,2014-04-14,735337,0
Recorded,2009-05-13,11/06/2009,07/08/2009,WEE****08,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,58.9,1200.0,2009-05-13,733540,0
Recorded,2010-07-27,30/07/2010,23/09/2010,WEE****78,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,50.0,2200.0,2010-07-27,733980,0
Recorded,2018-03-22,05/04/2018,03/05/2018,WEE****77,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,1.0,3000.0,2018-03-22,736775,0
Recorded,2012-11-05,25/05/2012,15/06/2012,WEE****15,Murray,High,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,Goulburn-Murray Water,6 VIC Murray - Dart to Barmah,172.8,1450.0,2012-11-05,734812,0
