Total Traded Volume (ML),Volume Weighted Average Price ($),Date
491.00000000000006,2078.2891649694498,2009-05-01
4281.799999999999,816.759308001308,2009-06-01
18113.100000000002,2328.518173366238,2009-07-01
5853.900000000001,1256.423555407506,2009-08-01
7231.8,2344.605215160817,2009-09-01
7414.799999999999,2247.1297986459513,2009-10-01
4150.5,1695.0324488615831,2009-11-01
3572.2999999999997,1689.5222388937102,2009-12-01
7356.400000000001,2114.788284351041,2010-01-01
3518.7,1841.356709296047,2010-02-01
4425.299999999999,1775.0613886064225,2010-03-01
3083.9999999999995,1132.1261407263296,2010-04-01
2801.7,1773.3790234500482,2010-05-01
5262.5,1371.4770272684086,2010-06-01
16217.2,2107.3431473990577,2010-07-01
16074.800000000003,2096.8214754771443,2010-08-01
1723.0,1623.7710272780034,2010-09-01
4789.299999999999,1344.423737706972,2010-10-01
3006.499999999999,962.2923682022288,2010-11-01
4653.2,1605.9870499871058,2010-12-01
3867.9000000000005,1318.9559714573797,2011-01-01
5581.7,1210.767667735636,2011-02-01
2844.3,1272.7082719825617,2011-03-01
2616.4,1334.963010243082,2011-04-01
4554.400000000001,1279.2525116370982,2011-05-01
5111.799999999999,650.8698082867093,2011-06-01
20024.5,1948.3711658218683,2011-07-01
8350.499999999998,1784.6165326627154,2011-08-01
1856.9000000000003,1364.4844051914479,2011-09-01
5450.6,1720.5233827468535,2011-10-01
5346.1,1286.5090215297132,2011-11-01
19562.600000000002,1896.536368785335,2011-12-01
21921.799999999996,1948.077325675812,2012-01-01
8183.799999999998,1754.767017766808,2012-02-01
1936.0000000000002,1089.5885284090907,2012-03-01
2197.9999999999995,311.5866778889901,2012-04-01
3565.9,1347.6477800835692,2012-05-01
14427.1,1117.4162978006668,2012-06-01
4435.8,1085.9750822850442,2012-07-01
6558.0,966.2808802988717,2012-08-01
4872.9,1461.617651295943,2012-09-01
3578.9,1133.0414135628266,2012-10-01
4066.2,1250.179238847081,2012-11-01
3588.3,924.5303360923,2012-12-01
1399.3,890.82383477453,2013-01-01
2927.699999999999,1328.0344352221887,2013-02-01
2647.7999999999997,1294.976644384017,2013-03-01
2498.3,934.9449397590361,2013-04-01
2359.2,1113.1447325364531,2013-05-01
3770.4999999999995,1027.0622967776158,2013-06-01
4230.5,896.533508568727,2013-07-01
2428.8999999999996,846.72119066244,2013-08-01
1822.7999999999997,875.9244020188722,2013-09-01
4132.0,1036.1790900290416,2013-10-01
2032.3000000000002,1024.8274629729863,2013-11-01
2189.7999999999997,1121.1487281943557,2013-12-01
3877.8,915.3267316519675,2014-01-01
4752.5,1111.488279852709,2014-02-01
4451.3,872.9858497517579,2014-03-01
4064.2999999999993,942.434879807101,2014-04-01
4667.000000000001,1317.5743608313687,2014-05-01
5679.4,1188.1668380462725,2014-06-01
2755.8,874.4012773060454,2014-07-01
3188.9999999999995,1088.1843963624963,2014-08-01
4407.199999999999,1267.840848838265,2014-09-01
4797.200000000001,1241.0366542983404,2014-10-01
2620.2000000000003,1470.7030226700251,2014-11-01
4529.800000000001,1528.5021413748948,2014-12-01
3025.9,1459.1966700816286,2015-01-01
2514.2999999999997,1381.275595195482,2015-02-01
7093.999999999998,1262.2451127713564,2015-03-01
