Total Traded Volume (ML),Volume Weighted Average Price ($),Date
89.80000000000001,0.0,2009-05-01
1386.7000000000003,1913.133663373476,2009-06-01
5697.299999999999,2200.595530338933,2009-07-01
5641.000000000001,2283.5888562311643,2009-08-01
6862.199999999999,2224.40981026493,2009-09-01
1606.6,1655.0940632391387,2009-10-01
30856.200000000004,1808.8107091929658,2009-11-01
17506.3,2070.7740009025324,2009-12-01
8600.899999999998,1744.5794568010328,2010-01-01
49688.2,1335.7004077426834,2010-02-01
3546.2,1953.2559077322203,2010-03-01
3422.0,2143.334695499708,2010-04-01
422.5,802.1774911242603,2010-05-01
6372.2,1783.946193622297,2010-06-01
17859.800000000003,1878.5654049877376,2010-07-01
987.6000000000001,1870.043539894694,2010-08-01
4131.299999999999,702.8707731222619,2010-09-01
827.8999999999999,1158.9854088658053,2010-10-01
3828.4999999999995,719.8042366462062,2010-11-01
7192.1,1751.7777590689784,2010-12-01
576.0,1449.51390625,2011-01-01
2786.8999999999996,1522.4335264989777,2011-02-01
975.9,1324.5312532021724,2011-03-01
4599.099999999999,1650.3025113609187,2011-04-01
5959.0,1651.2064708843766,2011-05-01
6337.5,1406.9202581459565,2011-06-01
14308.599999999999,1527.1441445703986,2011-07-01
2464.0,1711.7268198051947,2011-08-01
2517.2000000000003,1898.2570093754962,2011-09-01
3367.9,1708.8673951126814,2011-10-01
3535.1,1686.9449260275524,2011-11-01
3586.0000000000005,1460.9293084216395,2011-12-01
467.9,1632.613742252618,2012-01-01
1499.1,1418.1531318791274,2012-02-01
552.7000000000002,288.1490863036004,2012-03-01
425.0,867.6517647058823,2012-04-01
19958.600000000002,1288.031606074574,2012-05-01
4971.8,1727.2778470574037,2012-06-01
962.3999999999999,1392.488050706567,2012-07-01
983.5000000000001,542.318256227758,2012-08-01
4524.2,474.3733698775474,2012-09-01
1551.5,1317.3414566548502,2012-10-01
1700.0000000000002,1226.8357864705881,2012-11-01
836.8000000000001,1187.2663527724665,2012-12-01
849.6000000000001,1241.466572504708,2013-01-01
1328.1999999999996,1045.3753734377356,2013-02-01
5311.9,96.26310830399669,2013-03-01
367.09999999999997,1075.0068101334787,2013-04-01
271.9999999999999,687.0257058823532,2013-05-01
770.7,1236.622550927728,2013-06-01
513.3,1299.1872296902397,2013-07-01
545.0,935.6330275229358,2013-08-01
922.4,1273.7966175195143,2013-09-01
2137.6,1148.1722777881737,2013-10-01
1743.3,1119.9037560947627,2013-11-01
344.9,1398.1849521600464,2013-12-01
573.4,896.1981164980816,2014-01-01
1139.1999999999998,1307.7598209269663,2014-02-01
1389.8,1349.3078198301914,2014-03-01
2140.3,1285.1226463579872,2014-04-01
1312.5,1390.2924594285714,2014-05-01
1058.3999999999999,1266.4172656840515,2014-06-01
612.0999999999999,1327.7732396667213,2014-07-01
952.0000000000001,1100.0042920168066,2014-08-01
1225.2,1382.0908716944173,2014-09-01
428.5,1549.4865810968495,2014-10-01
1766.6000000000001,1561.0823049926412,2014-11-01
409.8,1761.469009272816,2014-12-01
315.2,1553.9758280456854,2015-01-01
2098.0,1292.36177264061,2015-02-01
988.0,627.5647773279352,2015-03-01
1107.7000000000003,1088.8372068249523,2015-04-01
1187.0,1652.5268744734624,2015-05-01
1572.9999999999998,1577.5098537825813,2015-06-01
427.7,1090.6663128361001,2015-07-01
1245.5000000000002,956.6358980329182,2015-08-01
1294.8000000000002,1841.2209059314177,2015-09-01
10129.9,2508.075597982211,2015-10-01
2324.8999999999996,1530.627123747258,2015-11-01
5220.6,2863.8298279891196,2015-12-01
1100.9,2670.3424470887453,2016-01-01
703.6999999999999,1556.3024015915876,2016-02-01
424.80000000000007,2259.2749529190205,2016-03-01
596.8000000000001,2035.3719839142088,2016-04-01
1145.6999999999996,2986.5322606266923,2016-05-01
2032.6,1162.0045030994786,2016-06-01
7199.799999999999,2845.1401275035423,2016-07-01
1189.8,2425.1084089762985,2016-08-01
488.5,1261.6581371545547,2016-09-01
1216.5,2024.7759967118784,2016-10-01
2896.3,2804.1519013914303,2016-11-01
1684.1999999999998,2605.3802814392593,2016-12-01
878.7000000000002,2455.519517468988,2017-01-01
216.2,2429.116558741906,2017-02-01
872.9000000000001,2025.8277007675563,2017-03-01
255.9,2637.631613911684,2017-04-01
1442.7000000000003,2791.5172731683647,2017-05-01
941.9,2365.33602824079,2017-06-01
370.09999999999997,2803.9502837071063,2017-07-01
629.9999999999999,2740.647682539683,2017-08-01
637.3,2560.296094461007,2017-09-01
874.5,3029.901658090337,2017-10-01
655.0999999999999,2968.981834834377,2017-11-01
1353.3,2921.466697701914,2017-12-01
412.3999999999999,3286.0935984481093,2018-01-01
772.7000000000002,1754.8622324317325,2018-02-01
405.9999999999999,1564.3028694581285,2018-03-01
268.7,3042.724227763305,2018-04-01
365.59999999999997,2650.528057986871,2018-05-01
