Time,219027,410102,410704,412010,421189,570818,570825,570947,A4261167,A4261221,EW0902
2010-01-01T00:00:00.000+10:00,,,,,,21.2,22.2,19.8,,,23.2
2010-02-01T00:00:00.000+10:00,,,,,,19.1,19.7,18.1,,,20.9
2010-03-01T00:00:00.000+10:00,,,,,,16.4,16.8,15.3,,,18.1
2010-04-01T00:00:00.000+10:00,,,,,,13.0,13.4,11.8,,,14.5
2010-05-01T00:00:00.000+10:00,,,,,,8.7,8.5,7.3,,,9.6
2010-06-01T00:00:00.000+10:00,,,,,,5.7,6.0,4.7,,,7.2
2010-07-01T00:00:00.000+10:00,,,,,,5.3,5.2,4.2,,,6.4
2010-08-01T00:00:00.000+10:00,,,,,,5.5,5.7,4.5,,,7.0
2010-08-01T00:30:00.000+10:00,,,,,,,,,,11.0,
2010-09-01T00:00:00.000+10:00,,,,,,8.8,9.0,7.9,,,10.1
2010-09-01T00:30:00.000+10:00,,,,,,,,,,13.1,
2010-10-01T00:00:00.000+10:00,,,,,,12.6,12.4,11.0,,,13.5
2010-10-01T00:30:00.000+10:00,,,,,,,,,,16.9,
2010-11-01T00:00:00.000+10:00,,,,,,15.3,15.2,13.7,,,16.3
2010-11-01T00:30:00.000+10:00,,,,,,,,,,19.7,
2010-12-01T00:00:00.000+10:00,,,,,,16.9,16.8,15.3,,,18.0
2010-12-01T00:30:00.000+10:00,,,,,,,,,,22.2,
2011-01-01T00:00:00.000+10:00,,,,,,20.3,20.8,18.9,,,21.7
2011-01-01T00:30:00.000+10:00,,,,,,,,,,25.5,
2011-02-01T00:00:00.000+10:00,,,,,,18.2,19.9,17.7,,,20.2
2011-02-01T00:30:00.000+10:00,,,,,,,,,,24.1,
2011-03-01T00:00:00.000+10:00,,,,,,15.2,16.5,14.6,,,17.0
2011-03-01T00:30:00.000+10:00,,,,,,,,,,20.5,
2011-04-01T00:00:00.000+10:00,,,,,,11.0,11.8,10.3,,,12.6
2011-04-01T00:30:00.000+10:00,,,,,,,,,,17.3,
2011-05-01T00:00:00.000+10:00,,,,,,6.9,7.2,6.1,,,8.1
2011-05-01T00:30:00.000+10:00,,,,,,,,,,12.6,
2011-06-01T00:00:00.000+10:00,,,,,,5.7,6.3,5.2,,,7.4
2011-06-01T00:30:00.000+10:00,,,,,,,,,,11.1,
2011-07-01T00:00:00.000+10:00,,,,,,4.4,4.9,4.0,,,5.9
