Time,219027,219033,222537,222538,222539,222540,225225A,225256A,226230A,226236A,228224A,228263A,228264A,228265A,228266A,228267A,228268A,228269A,229102A,229111A,229130A,229405A,229406A,229407A,229408A,229409A,229410A,229411A,229412A,229412B,229413A,229607A,230216A,231221A,231222A,231223A,232217A,232219A,232220A,232222A,233232A,233272A,236228A,401027,401224A,401565,401569,401570,401571,407313A,407326A,407327A,407333A,407334A,407335A,408216A,408217A,410102,41010904,41010922,41010928,41010941,41010966,41010971,41010981,410131,410190,410542,410543,410545,410572A,410573,410704,410717,410742,410748,412010,415275A,421189,570016A,A4260553,A4261093,BARKERSCREEK,BUANGOR_STORAGE,ELMHURST,GREEN,LAKE_BELLFIELD,LAKE_FYANS,LAKE_LONSDALE,LAURISTON,MALMSBURY,MCCAY,MOORA,MT_COLE,RE604,RE604A,RE604B,RE670,RE690,RE704,RE750,RE851,RE852,RE931,RE961,RES_BEEWKFS,RES_BENWLOR,RES_BENWMSR,RES_MYRWNGR,ROCKLANDS,SANDHURST,SB855,SB855B,SB898,SB903,SPRINGGULLY,TAYLORS,TOOLONDO,UPPERCOLIBAN,WARTOOK,sp-o10109,sp-o10138,sp-o10298,sp-o10334,sp-o10350,sp-o10438,sp-o10454,sp-o10606,sp-o10814,sp-o10926,sp-o10930,sp-o11430,sp-o11454,sp-o11534,sp-o11590
2010-01-01T00:00:00.000+10:00,1328.847,450.193,976.952,1543494.461,1962.246,394577.652,122061.854,226735.715,168844.398,6160.215,23944.529,114012.138,7592.269,143.652,286.048,47.364,400.190,57.995,145387.892,2645.507,19025.688,35745.568,8009.330,19821.048,87.464,171.627,142.946,59.208,99.683,101.133,83.545,72167.760,1274.895,2027.897,1832.339,3140.956,901.891,,,4399.74,11836.475,267.812,,699836.523,,20809.455,8588.472,16746.030,,,,,,,,,,484397.612,2770.912,4223.515,9513.972,2933.550,,504.290,,421956.812,,15338.314,16571.782,2105.861,881953.071,24287.529,3335.527,6996.264,37304.703,57334.363,75380.651,,4635.517,,,,353.048,,,,25080.546,,,17712.258,799.362,958.806,,,240.50,6.01,824.92,842.53,1595.28,25305.62,3948.21,1630.54,,206.83,397.19,740.745,543.724,1117.852,366.491,11567.629,2278.113,,332.44,,,1149.274,,,109.881,19242.358,23322.199,8332.568,1192861.827,1027887.798,22933.873,24662.747,8697.358,531.090,110897.655,1100.694,11740.164,36806.510,4104.021,181943.367,12877.462
2010-01-01T00:30:00.000+10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337626.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-01T00:00:00.000+10:00,8396.943,996.227,1240.743,1363237.868,1460.461,393430.888,99560.064,226437.474,165544.120,4652.657,22671.298,105935.786,7387.530,122.643,286.431,47.218,390.075,55.012,139833.677,2205.044,18857.635,34983.492,8100.212,19184.524,85.192,166.708,144.073,58.863,99.093,99.145,76.042,64303.026,1200.533,2281.190,1540.262,3129.917,838.951,,,4160.21,12038.446,259.417,,541794.419,,14272.813,9917.167,15962.651,,,,,,,,,,507554.308,2999.660,4043.055,9416.157,1337.094,,504.290,,424167.075,,9327.320,16617.902,2046.057,877934.936,26256.794,3576.067,7492.553,35345.382,58035.653,78907.209,,4475.326,,,,211.661,,,,24015.544,,,17235.536,764.139,839.679,,,234.85,6.07,748.34,797.06,1535.99,23347.46,4064.97,1438.21,,210.29,365.04,685.333,485.216,1065.173,384.182,10023.622,2297.821,,315.86,,,989.768,,,33.748,17699.032,22407.541,6959.647,1189349.000,955684.468,21920.464,24988.819,11850.870,562.520,109915.342,890.008,10210.496,36794.906,3802.096,158615.531,11502.041
2010-03-01T00:00:00.000+10:00,9210.254,1525.226,1183.840,1250587.184,1662.288,397387.021,97487.946,228292.841,162121.895,3637.117,21642.052,99135.373,7237.231,110.719,286.710,47.599,383.484,,132054.934,2301.181,18677.581,35518.683,8794.889,19400.317,93.434,169.573,146.797,59.450,101.509,104.256,72.138,58460.717,1167.708,3147.809,1400.103,3206.898,822.570,,,4041.21,12121.714,258.302,,510682.257,,19717.835,10183.062,15001.016,,,,,,,,,,558156.382,3017.196,3964.487,10166.122,5203.325,,504.290,,458951.323,,15682.651,17693.220,2094.827,859797.836,30062.833,3649.478,8501.510,38279.441,60878.066,93851.626,,4402.816,,,,356.516,,,,22974.120,,,16039.677,649.945,1107.468,,,231.29,6.08,693.30,782.25,1516.27,21788.84,4243.25,1242.51,,220.40,343.60,670.269,553.786,1116.073,372.842,8557.422,2193.871,,332.41,,,881.516,,,36.752,16559.883,18212.855,6916.186,1205600.712,888576.461,22420.642,25095.490,17229.050,798.671,111823.414,758.150,9689.738,36809.535,3807.748,171771.517,9683.064
2010-04-01T00:00:00.000+10:00,9006.501,1379.855,1187.152,1165827.301,1493.207,394412.335,78438.951,227874.393,159773.153,1532.890,21084.085,96881.459,7196.083,107.783,284.085,47.632,379.011,56.456,120710.154,2492.004,19128.243,35628.165,9155.872,20301.959,91.444,165.569,152.917,59.420,,107.872,77.431,56339.637,1144.868,3245.181,1212.645,3183.039,810.548,,,3869.46,11841.922,257.718,,459059.789,,22161.843,10161.816,14526.052,,,,,,,,,,593300.001,2987.352,2865.638,8624.206,3612.605,,504.290,,425612.965,,19883.418,17423.110,1930.764,823723.842,29212.205,3437.178,8814.257,39829.085,58612.075,90353.464,,4497.369,,,,420.517,,,,22399.200,,,15345.667,469.630,1121.700,,,229.08,6.07,680.13,779.90,1497.12,20592.15,4334.97,1103.73,,221.20,326.33,651.463,609.615,1136.000,377.160,7577.239,2335.400,,333.58,,,,,,39.613,16053.375,14891.212,6772.258,1216578.906,815332.131,24033.728,24894.225,14811.808,1526.016,111299.606,639.344,9002.572,36710.768,3953.635,152926.681,9272.825
2010-04-01T00:30:00.000+10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523260.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-01T00:00:00.000+10:00,9176.154,1236.366,679.970,1089218.570,1403.562,395427.224,65843.160,226288.201,160409.747,1641.077,21716.453,98553.034,7252.984,119.516,283.968,47.448,383.661,56.562,115218.287,2819.970,16347.668,35743.226,9565.290,18194.541,92.341,165.851,150.415,60.986,,25.508,80.998,54795.943,1126.713,3012.548,1178.399,3115.061,806.513,,,3852.84,11109.869,226.855,,518840.947,,19223.649,9829.772,14224.825,,,,,,,,,,593789.500,2459.645,3878.797,3479.731,6696.277,,504.290,,366512.975,,15864.776,18042.700,1924.631,863008.834,30832.650,3601.367,7279.876,40322.702,58275.403,87521.420,,4420.586,,,,426.065,,,,21919.910,,,15251.935,379.952,1006.730,,,229.90,6.04,671.36,778.44,1483.52,19782.36,4673.68,1387.93,,221.92,315.81,665.298,611.000,1136.000,353.979,6512.711,2142.746,,257.96,,,654.638,,,118.194,15712.016,12237.659,6323.193,1234457.181,816209.318,26141.980,24680.404,15257.916,1799.413,111662.274,518.462,8937.805,35971.224,4068.928,135798.970,9877.042
2010-05-01T00:30:00.000+10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421787.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-01T00:00:00.000+10:00,9177.735,2221.018,1485.058,990672.113,1485.066,404993.270,77941.279,230725.615,163824.248,3897.470,21650.578,98033.165,7354.167,129.772,283.028,46.853,395.622,56.429,113189.296,2935.950,11217.207,35627.233,10416.967,16981.480,91.970,165.413,150.266,61.280,103.683,0.230,61.857,56398.126,1131.425,2896.058,1187.449,3067.785,820.087,,,3870.14,10768.807,147.064,,700803.860,,17306.180,10036.044,14716.492,,,,,,,,,,647061.334,1577.223,2838.327,5575.621,7871.502,,504.290,,400339.456,,15085.888,21741.764,2066.431,904721.463,30536.707,3700.149,8343.080,41568.183,59295.324,87970.699,,4540.739,,,,510.342,,,,21773.129,,,15227.500,419.427,903.538,,,235.57,6.03,689.43,1016.83,1197.66,20587.56,4490.43,1808.84,,221.64,324.38,699.545,611.000,1136.000,382.508,5857.427,2033.221,,159.31,,,673.046,,,398.305,15779.143,12920.612,6243.538,1257447.890,852936.351,25739.370,25078.362,16546.038,1742.296,109053.958,462.164,9498.450,36782.970,4230.179,164788.871,12797.367
2010-06-01T00:30:00.000+10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369706.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
