,Year,Annual,station,Lat,Lon,Name,month,Rainfall,date
0,1909,531.5,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,31.5,1909-01-01
1,1910,551.6,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,22.9,1910-01-01
2,1911,518.0,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,49.4,1911-01-01
3,1912,425.1,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,17.0,1912-01-01
4,1913,384.6,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,6.4,1913-01-01
5,1914,283.4,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,35.2,1914-01-01
6,1915,441.4,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,17.3,1915-01-01
7,1916,750.8,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,46.3,1916-01-01
8,1917,768.4,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,5.1,1917-01-01
9,1918,565.2,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,82.6,1918-01-01
10,1919,420.1,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,0.0,1919-01-01
11,1920,594.2,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,0.0,1920-01-01
12,1921,571.9,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,36.3,1921-01-01
13,1922,355.5,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,10.9,1922-01-01
14,1923,420.0,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,0.0,1923-01-01
15,1924,572.6,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,24.9,1924-01-01
16,1925,349.2,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,51.3,1925-01-01
17,1926,456.3,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,13.5,1926-01-01
18,1927,305.9,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,18.5,1927-01-01
19,1928,610.5,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,63.5,1928-01-01
20,1929,383.7,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,5.6,1929-01-01
21,1930,591.9,81019,-36.718,145.1731,NAGAMBIE (GOULBURN WEIR),Jan,0.0,1930-01-01
